School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
LITTLE OAK MONTESSORI SCHOOL--2ND LOCATION,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PRIVATE SCHOOL,WHITE SALMON VALLEY SCHOOL DISTRICT,871 NE ESTES,WHITE SALMON,KITTITAS,EDUCATIONAL SERVICE DISTRICT 112,1-6,N,Y
LITTLE STAR MONTESSORI SCHOOL,2015-16,8,75.0%,0.0%,0.0%,25.0%,0.0%,25.0%,0.0%,0.0%,87.5%,87.5%,87.5%,87.5%,75.0%,75.0%,6,0,0,2,0,2,0,0,1,1,1,1,2,2,Y,PRIVATE SCHOOL,METHOW VALLEY SCHOOL DISTRICT,PO BOX 608,WINTHROP,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-K,Y,N
LITTLEROCK ELEMENTARY SCHOOL,2015-16,37,86.5%,0.0%,0.0%,13.5%,2.7%,13.5%,0.0%,0.0%,94.6%,94.6%,94.6%,89.2%,86.5%,91.9%,32,0,0,5,1,5,0,0,2,2,2,4,5,3,Y,PUBLIC SCHOOL,TUMWATER SCHOOL DISTRICT,BOX C,LITTLEROCK,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
LIVING MONTESSORI ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,2445 140TH AVE NE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
LIVING WISDOM SCHOOL OF SEATTLE,2015-16,7,57.1%,0.0%,0.0%,42.9%,0.0%,42.9%,0.0%,0.0%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,4,0,0,3,0,3,0,0,3,3,3,3,3,3,Y,PRIVATE SCHOOL,SHORELINE SCHOOL DISTRICT,2800 NE 200TH ST,SHORELINE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y
LOCHBURN MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,CLOVER PARK SCHOOL DISTRICT,5431 STEILACOOM BLVD SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
LOCKWOOD ELEMENTARY,2015-16,83,90.4%,0.0%,1.2%,8.4%,3.6%,6.0%,0.0%,0.0%,95.2%,95.2%,94.0%,94.0%,92.8%,91.6%,75,0,1,7,3,5,0,0,4,4,5,5,6,7,Y,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,24118 LOCKWOOD RD,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
LOGAN ELEMENTARY,2015-16,58,93.1%,3.4%,0.0%,3.4%,1.7%,1.7%,1.7%,0.0%,94.8%,94.8%,94.8%,96.6%,98.3%,94.8%,54,2,0,2,1,1,1,0,3,3,3,2,1,3,Y,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,1001 E MONTGOMERY AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
LONG BEACH ELEMENTARY SCHOOL,2015-16,53,86.8%,3.8%,7.5%,1.9%,1.9%,0.0%,0.0%,0.0%,90.6%,90.6%,94.3%,88.7%,98.1%,94.3%,46,2,4,1,1,0,0,0,5,5,3,6,1,3,Y,PUBLIC SCHOOL,OCEAN BEACH SCHOOL DISTRICT,400 S WASHINGTON ST,LONG BEACH,PACIFIC,EDUCATIONAL SERVICE DISTRICT 112,K -6,Y,Y
LONGFELLOW ELEMENTARY,2015-16,54,98.1%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,53,1,0,0,0,0,0,0,1,1,1,1,1,1,Y,PUBLIC SCHOOL,PASCO SCHOOL DISTRICT,301 NORTH 10TH AVENUE,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K-6,Y,Y
LONGFELLOW ELEMENTARY,2015-16,69,89.9%,2.9%,2.9%,4.3%,0.0%,4.3%,0.0%,0.0%,91.3%,91.3%,91.3%,92.8%,94.2%,91.3%,62,2,2,3,0,3,0,0,6,6,6,5,4,6,Y,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,800 E PROVIDENCE AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
LONGVIEW ELEMENTARY,2015-16,90,82.2%,0.0%,11.1%,6.7%,0.0%,5.6%,1.1%,0.0%,84.4%,84.4%,84.4%,84.4%,91.1%,85.6%,74,0,10,6,0,5,1,0,14,14,14,14,8,13,Y,PUBLIC SCHOOL,MOSES LAKE SCHOOL DISTRICT,9783 APPLE ROAD NE,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
LOON LAKE ELEMENTARY SCHOOL,2015-16,14,57.1%,0.0%,28.6%,14.3%,0.0%,14.3%,0.0%,0.0%,71.4%,71.4%,71.4%,71.4%,78.6%,57.1%,8,0,4,2,0,2,0,0,4,4,4,4,3,6,Y,PUBLIC SCHOOL,LOON LAKE SCHOOL DISTRICT,4001 MAPLE STREET,LOON LAKE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
LOOWIT HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,KELSO SCHOOL DISTRICT,1904 ALLEN ST,KELSO,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,8-12,N,N
LOPEZ ELEMENTARY SCHOOL,2015-16,16,68.8%,12.5%,6.3%,12.5%,12.5%,0.0%,0.0%,0.0%,87.5%,87.5%,87.5%,81.3%,75.0%,75.0%,11,2,1,2,2,0,0,0,2,2,2,3,4,4,Y,PUBLIC SCHOOL,LOPEZ SCHOOL DISTRICT,86 SCHOOL ROAD,LOPEZ ISLAND,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
LOPEZ MIDDLE HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,LOPEZ SCHOOL DISTRICT,86 SCHOOL ROAD,LOPEZ ISLAND,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-12,N,Y
LOWELL ELEMENTARY,2015-16,86,79.1%,0.0%,18.6%,2.3%,0.0%,1.2%,0.0%,1.2%,81.4%,98.8%,88.4%,86.0%,93.0%,86.0%,68,0,16,2,0,1,0,1,16,1,10,12,6,12,Y,PUBLIC SCHOOL,EVERETT SCHOOL DISTRICT,5010 VIEW DR.,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
LOWELL ELEMENTARY SCHOOL,2015-16,46,67.4%,4.3%,26.1%,2.2%,0.0%,2.2%,0.0%,0.0%,82.6%,82.6%,84.8%,84.8%,78.3%,78.3%,31,2,12,1,0,1,0,0,8,8,7,7,10,10,Y,PUBLIC SCHOOL,BELLINGHAM SCHOOL DISTRICT,935 14TH ST,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
LOWELL ELEMENTARY SCHOOL,2015-16,55,80.0%,0.0%,14.5%,5.5%,1.8%,3.6%,0.0%,0.0%,90.9%,90.9%,87.3%,87.3%,83.6%,87.3%,44,0,8,3,1,2,0,0,5,5,7,7,9,7,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,1058 E MERCER ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
LOWELL ELEMENTARY SCHOOL,2015-16,65,92.3%,0.0%,4.6%,3.1%,1.5%,3.1%,0.0%,0.0%,95.4%,98.5%,93.8%,93.8%,95.4%,95.4%,60,0,3,2,1,2,0,0,3,1,4,4,3,3,Y,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,810 N 13TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LOYAL HEIGHTS ELEMENTARY SCHOOL,2015-16,67,85.1%,1.5%,0.0%,13.4%,1.5%,13.4%,0.0%,0.0%,94.0%,94.0%,91.0%,91.0%,89.6%,91.0%,57,1,0,9,1,9,0,0,4,4,6,6,7,6,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,2511 NW 80 ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LUCILLE UMBARGER ELEMENTARY,2015-16,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,BURLINGTON-EDISON SCHOOL DISTRICT,820 S SKAGIT ST,BURLINGTON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
LUMMI HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,LUMMI NATION SCHOOL,2334 LUMMI VIEW DR.,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
LUMMI TRIBAL ELEMENTARY SCHOOL,2015-16,23,78.3%,0.0%,21.7%,0.0%,0.0%,0.0%,0.0%,0.0%,82.6%,82.6%,87.0%,78.3%,100.0%,87.0%,18,0,5,0,0,0,0,0,4,4,3,5,0,3,Y,PUBLIC SCHOOL,LUMMI NATION SCHOOL,2334 LUMMI VIEW DR.,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
LUTACAGA ELEMENTARY,2015-16,96,95.8%,0.0%,4.2%,0.0%,0.0%,0.0%,0.0%,0.0%,99.0%,99.0%,97.9%,97.9%,100.0%,99.0%,92,0,4,0,0,0,0,0,1,1,2,2,0,1,Y,PUBLIC SCHOOL,OTHELLO SCHOOL DISTRICT,795 S 7TH AVE,OTHELLO,ADAMS,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
LYDIA HAWK ELEMENTARY,2015-16,58,70.7%,3.4%,25.9%,0.0%,0.0%,0.0%,0.0%,0.0%,77.6%,77.6%,86.2%,82.8%,94.8%,81.0%,41,2,15,0,0,0,0,0,13,13,8,10,3,11,Y,PUBLIC SCHOOL,NORTH THURSTON PUBLIC SCHOOLS,7600 5TH AVE SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y
LYLE HIGH SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PUBLIC SCHOOL,LYLE SCHOOL DISTRICT,P.O. BOX 368,LYLE,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
LYLE MIDDLE SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PUBLIC SCHOOL,LYLE SCHOOL DISTRICT,P.O. BOX 368,LYLE,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,7-8,N,N
LYMAN ELEMENTARY SCHOOL,2015-16,22,77.3%,13.6%,0.0%,9.1%,4.5%,4.5%,0.0%,0.0%,90.9%,90.9%,90.9%,86.4%,95.5%,81.8%,17,3,0,2,1,1,0,0,2,2,2,3,1,4,Y,PUBLIC SCHOOL,SEDRO-WOOLLEY SCHOOL DISTRICT,PO BOX 1308,LYMAN,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
LYNDEN ACADEMY,2015-16,15,53.3%,0.0%,20.0%,26.7%,0.0%,26.7%,0.0%,0.0%,60.0%,60.0%,66.7%,60.0%,66.7%,60.0%,8,0,3,4,0,4,0,0,6,6,5,6,5,6,Y,PUBLIC SCHOOL,LYNDEN SCHOOL DISTRICT,200 S BC AVE STE 102,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,Y,Y
"LYNDEN CHRISTIAN SCHOOL, BELLINGHAM",2015-16,27,74.1%,3.7%,0.0%,22.2%,0.0%,22.2%,0.0%,0.0%,88.9%,88.9%,85.2%,88.9%,81.5%,81.5%,20,1,0,6,0,6,0,0,3,3,4,3,5,5,Y,PRIVATE SCHOOL,BELLINGHAM SCHOOL DISTRICT,567 E KELLOGG RD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
LYNDEN CHRISTIAN SCHOOLS,2015-16,66,97.0%,1.5%,0.0%,1.5%,1.5%,0.0%,0.0%,0.0%,98.5%,98.5%,98.5%,98.5%,97.0%,98.5%,64,1,0,1,1,0,0,0,1,1,1,1,2,1,Y,PRIVATE SCHOOL,LYNDEN SCHOOL DISTRICT,417 LYNCS DR,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y
LYNDEN HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,LYNDEN SCHOOL DISTRICT,1201 BRADLEY RD,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
LYNDEN MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,LYNDEN SCHOOL DISTRICT,516 MAIN ST,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
LYNNDALE ELEMENTARY,2015-16,62,91.9%,1.6%,1.6%,4.8%,0.0%,4.8%,0.0%,0.0%,95.2%,95.2%,93.5%,93.5%,93.5%,93.5%,57,1,1,3,0,3,0,0,3,3,4,4,4,4,Y,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,7200 191ST PL SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
LYNNWOOD ELEMENTARY,2015-16,81,81.5%,1.2%,13.6%,3.7%,1.2%,2.5%,0.0%,0.0%,87.7%,87.7%,90.1%,88.9%,96.3%,86.4%,66,1,11,3,1,2,0,0,10,10,8,9,3,11,Y,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,18638 44TH AVE W,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
LYNNWOOD HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,18218 NORTH RD,BOTHELL,KING,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
LYON ELEMENTARY SCHOOL,2015-16,75,86.7%,0.0%,8.0%,5.3%,0.0%,5.3%,0.0%,0.0%,92.0%,98.7%,92.0%,89.3%,93.3%,90.7%,65,0,6,4,0,4,0,0,6,1,6,8,5,7,Y,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,101 E 46TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
MABTON JR SR HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MABTON SCHOOL DISTRICT,P.O. BOX 38,MABTON,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,7-12,N,N
MACHIAS ELEMENTARY,2015-16,66,87.9%,1.5%,3.0%,7.6%,3.0%,4.5%,0.0%,0.0%,92.4%,92.4%,92.4%,90.9%,90.9%,90.9%,58,1,2,5,2,3,0,0,5,5,5,6,6,6,Y,PUBLIC SCHOOL,SNOHOMISH SCHOOL DISTRICT,231 14TH AVENUE SE,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
MADISON ELEMENTARY,2015-16,43,90.7%,0.0%,2.3%,7.0%,2.3%,4.7%,0.0%,0.0%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,39,0,1,3,1,2,0,0,4,4,4,4,4,4,Y,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,319 W NEBRASKA AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
MADISON ELEMENTARY,2015-16,68,89.7%,0.0%,5.9%,4.4%,4.4%,0.0%,0.0%,0.0%,94.1%,98.5%,94.1%,95.6%,95.6%,92.6%,61,0,4,3,3,0,0,0,4,1,4,3,3,5,Y,PUBLIC SCHOOL,EVERETT SCHOOL DISTRICT,616 PECKS DR,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
MADISON ELEMENTARY,2015-16,87,94.3%,0.0%,0.0%,5.7%,2.3%,3.4%,1.1%,0.0%,95.4%,95.4%,95.4%,95.4%,94.3%,94.3%,82,0,0,5,2,3,1,0,4,4,4,4,5,5,Y,PUBLIC SCHOOL,MOUNT VERNON SCHOOL DISTRICT,907 E FIR ST,MOUNT VERNON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
MADISON ELEMENTARY SCHOOL,2015-16,41,41.5%,2.4%,53.7%,2.4%,0.0%,2.4%,0.0%,0.0%,56.1%,56.1%,63.4%,51.2%,63.4%,61.0%,17,1,22,1,0,1,0,0,18,18,15,20,15,16,Y,PUBLIC SCHOOL,OLYMPIA SCHOOL DISTRICT,1225 LEGION WAY SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N
MADISON MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,3429 45 AVE SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MADRONA ELEMENTARY,2015-16,97,95.9%,4.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,96.9%,96.9%,96.9%,96.9%,97.9%,96.9%,93,4,0,0,0,0,0,0,3,3,3,3,2,3,Y,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,20301 32ND AVENUE SOUTH,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
MADRONA K-8 SCHOOL,2015-16,64,81.3%,0.0%,17.2%,1.6%,1.6%,0.0%,0.0%,0.0%,92.2%,92.2%,90.6%,89.1%,92.2%,89.1%,52,0,11,1,1,0,0,0,5,5,6,7,5,7,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,1121 33 AV,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-8,Y,Y
MADRONA NONGRADED,2015-16,69,78.3%,0.0%,14.5%,7.2%,0.0%,7.2%,0.0%,0.0%,82.6%,82.6%,85.5%,82.6%,88.4%,87.0%,54,0,10,5,0,5,0,0,12,12,10,12,8,9,Y,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,9300 236TH ST SW,EDMONDS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-8,Y,Y
MADRONA SCHOOL,2015-16,24,70.8%,0.0%,0.0%,29.2%,0.0%,20.8%,0.0%,8.3%,75.0%,75.0%,79.2%,75.0%,75.0%,70.8%,17,0,0,7,0,5,0,2,6,6,5,6,6,7,Y,PRIVATE SCHOOL,BAINBRIDGE ISLAND SCHOOL DISTRICT,219 MADISON AVE N,BAINBRIDGE ISLAND,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
MAKKAH ISLAMIC SCHOOL,2015-16,15,73.3%,0.0%,0.0%,26.7%,0.0%,0.0%,26.7%,0.0%,73.3%,73.3%,73.3%,73.3%,73.3%,73.3%,11,0,0,4,0,0,4,0,4,4,4,4,4,4,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,3613 S JUNEAU ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
MALTBY ELEMENTARY,2015-16,63,69.8%,4.8%,17.5%,7.9%,3.2%,3.2%,1.6%,0.0%,84.1%,84.1%,85.7%,81.0%,84.1%,81.0%,44,3,11,5,2,2,1,0,10,10,9,12,10,12,Y,PUBLIC SCHOOL,MONROE SCHOOL DISTRICT,9700 212TH ST. SE,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
MANCHESTER ELEMENTARY SCHOOL,2015-16,60,95.0%,0.0%,0.0%,5.0%,1.7%,3.3%,0.0%,0.0%,95.0%,95.0%,96.7%,95.0%,100.0%,96.7%,57,0,0,3,1,2,0,0,3,3,2,3,0,2,Y,PUBLIC SCHOOL,SOUTH KITSAP SCHOOL DISTRICT,1901 CALIFORNIA AVE E,PORT ORCHARD,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -6,Y,Y
MANITOU PARK ELEMENTARY SCHOOL,2015-16,124,93.5%,1.6%,2.4%,2.4%,0.8%,0.8%,0.0%,0.8%,96.0%,99.2%,96.8%,96.0%,96.0%,95.2%,116,2,3,3,1,1,0,1,5,1,4,5,5,6,Y,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,4330 S 66TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
MANN ELEMENTARY,2015-16,73,84.9%,0.0%,15.1%,0.0%,0.0%,0.0%,0.0%,0.0%,93.2%,93.2%,97.3%,91.8%,94.5%,95.9%,62,0,11,0,0,0,0,0,5,5,2,6,4,3,Y,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,17001 NE 104TH,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MANN ELEMENTARY SCHOOL,2015-16,93,88.2%,0.0%,10.8%,1.1%,0.0%,1.1%,0.0%,0.0%,90.3%,100.0%,91.4%,90.3%,97.8%,90.3%,82,0,10,1,0,1,0,0,9,0,8,9,2,9,Y,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,1002 S 52ND ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
MANN MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,CLOVER PARK SCHOOL DISTRICT,11509 HOLDEN RD SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MANSFIELD ELEM AND HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MANSFIELD SCHOOL DISTRICT,P.O. BOX 188,MANSFIELD,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-12,Y,Y
MANSON ELEMENTARY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MANSON SCHOOL DISTRICT,BOX A,MANSON,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
MANSON MIDDLE HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MANSON SCHOOL DISTRICT,PO BOX A,MANSON,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-12,N,Y
MANSON MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MANSON SCHOOL DISTRICT,1000 TOTEM POLE RD,MANSON,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-8,N,Y
MAPLE ELEMENTARY SCHOOL,2015-16,88,90.9%,2.3%,6.8%,0.0%,0.0%,0.0%,0.0%,0.0%,94.3%,94.3%,96.6%,94.3%,95.5%,95.5%,80,2,6,0,0,0,0,0,5,5,3,5,4,4,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,4925 CORSON AV S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MAPLE GROVE K-8,2015-16,71,80.3%,0.0%,7.0%,12.7%,2.8%,5.6%,0.0%,4.2%,87.3%,87.3%,85.9%,85.9%,85.9%,85.9%,57,0,5,9,2,4,0,3,9,9,10,10,10,10,Y,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,PO BOX 200,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-8,Y,Y
