School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
AIM HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SNOHOMISH SCHOOL DISTRICT,1601 AVENUE D,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
AKI KUROSE MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,3928 S GRAHAM ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
ALBERT EINSTEIN MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SHORELINE SCHOOL DISTRICT,19343 3RD AVENUE N.W.,SHORELINE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
ALCOTT ELEMENTARY,2015-16,87,89.7%,2.3%,5.7%,2.3%,0.0%,2.3%,0.0%,0.0%,96.6%,96.6%,96.6%,96.6%,90.8%,97.7%,78,2,5,2,0,2,0,0,3,3,3,3,8,2,Y,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,4213 - 228TH AVE NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ALCUIN SCHOOL,2015-16,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,216 W BOSTON,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-1,Y,N
ALDERWOOD ELEMENTARY SCHOOL,2015-16,39,56.4%,0.0%,43.6%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,66.7%,71.8%,64.1%,71.8%,66.7%,22,0,17,0,0,0,0,0,13,13,11,14,11,13,Y,PUBLIC SCHOOL,BELLINGHAM SCHOOL DISTRICT,3400 HOLLYWOOD AVE,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
ALDERWOOD MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,20000 28TH AVE W,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N
ALFARETTA HOUSE,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,CLOVER PARK SCHOOL DISTRICT,10903 GRAVELLY LAKE DR SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,11-12,N,N
"ALGER LEARNING CENTER, INC.",2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,MOUNT BAKER SCHOOL DISTRICT,121 ALDER DR,SEDRO-WOOLLEY,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y
ALKI ELEMENTARY SCHOOL,2015-16,50,84.0%,2.0%,0.0%,14.0%,2.0%,12.0%,0.0%,0.0%,98.0%,98.0%,96.0%,96.0%,88.0%,92.0%,42,1,0,7,1,6,0,0,1,1,2,2,6,4,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,3010 59 AV SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ALKI MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,1800 NW BLISS RD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
ALL SAINTS CATHOLIC SCHOOL,2015-16,34,91.2%,8.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,94.1%,94.1%,94.1%,100.0%,100.0%,94.1%,31,3,0,0,0,0,0,0,2,2,2,0,0,2,Y,PRIVATE SCHOOL,SPOKANE SCHOOL DISTRICT,3510 E 18TH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
ALL SAINTS SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,PUYALLUP SCHOOL DISTRICT,504 2ND ST SW,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,3-8,N,Y
