School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,
MEDICAL LAKE HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MEDICAL LAKE SCHOOL DISTRICT,PO BOX 128,MEDICAL LAKE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,
MEDICAL LAKE MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MEDICAL LAKE SCHOOL DISTRICT,PO BOX 128,MEDICAL LAKE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,6-8,0,1,
MEDINA ACADEMY,2016-17,Y,36,55.6%,33.3%,0.0%,11.1%,0.0%,11.1%,0.0%,0.0%,66.7%,75.0%,63.9%,80.6%,88.9%,63.9%,20,12,0,4,0,4,0,0,12,9,13,7,4,13,PRIVATE SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,16600 NE 80TH ST,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-7,1,1,
MEDINA ELEMENTARY SCHOOL,2016-17,Y,50,94.0%,0.0%,0.0%,6.0%,0.0%,6.0%,0.0%,0.0%,100.0%,100.0%,100.0%,98.0%,98.0%,96.0%,47,0,0,3,0,3,0,0,0,0,0,1,1,2,PUBLIC SCHOOL,BELLEVUE SCHOOL DISTRICT,8001 NE 8TH ST,MEDINA,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
MEEKER ELEMENTARY,2016-17,Y,41,92.7%,0.0%,4.9%,2.4%,0.0%,2.4%,0.0%,0.0%,95.1%,97.6%,95.1%,95.1%,97.6%,95.1%,38,0,2,1,0,1,0,0,2,1,2,2,1,2,PUBLIC SCHOOL,PUYALLUP SCHOOL DISTRICT,409 5TH ST SW,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
MEEKER MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,12600 SE 192ND ST,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,0,0,
MEEKER MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,4402 NASSAU AVE NE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
MELVIN G SYRE ELEMENTARY,2016-17,Y,69,95.7%,0.0%,0.0%,4.3%,0.0%,4.3%,0.0%,0.0%,97.1%,97.1%,98.6%,98.6%,98.6%,97.1%,66,0,0,3,0,3,0,0,2,2,1,1,1,2,PUBLIC SCHOOL,SHORELINE SCHOOL DISTRICT,19545 12TH AVENUE N.W.,SHORELINE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
MERCER ISLAND HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MERCER ISLAND SCHOOL DISTRICT,9100 SE 42ND,MERCER ISLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
MERCER MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,1600 S COLUMBIAN WY,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
MEREDITH HILL ELEMENTARY SCHOOL,2016-17,Y,77,88.3%,0.0%,2.6%,9.1%,1.3%,7.8%,0.0%,0.0%,88.3%,88.3%,88.3%,89.6%,90.9%,88.3%,68,0,2,7,1,6,0,0,9,9,9,8,7,9,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,5830 S 300TH ST,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
MERIDIAN ELEMENTARY SCHOOL,2016-17,Y,91,85.7%,8.8%,3.3%,2.2%,0.0%,2.2%,0.0%,0.0%,89.0%,89.0%,98.9%,91.2%,96.7%,94.5%,78,8,3,2,0,2,0,0,10,10,1,8,3,5,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,25621 140TH AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
MERIDIAN HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MERIDIAN SCHOOL DISTRICT,194 W LAUREL ROAD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
MERIDIAN MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,23480 120TH AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,0,0,
MERIDIAN MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MERIDIAN SCHOOL DISTRICT,861 TEN MILE ROAD,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,
MERIDIAN PARK ELEMENTARY SCHOOL,2016-17,Y,111,86.5%,4.5%,0.0%,9.0%,0.0%,9.0%,0.0%,0.0%,92.8%,92.8%,91.0%,91.9%,91.9%,88.3%,96,5,0,10,0,10,0,0,8,8,10,9,9,13,PUBLIC SCHOOL,SHORELINE SCHOOL DISTRICT,17077 MERIDIAN AVENUE N.,SHORELINE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
MERIDIAN SCHOOL,2016-17,Y,29,82.8%,3.4%,0.0%,13.8%,0.0%,13.8%,0.0%,0.0%,100.0%,100.0%,89.7%,100.0%,93.1%,86.2%,24,1,0,4,0,4,0,0,0,0,3,0,2,4,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,4649 SUNNYSIDE AVE N  SUITE 242,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,1,0,
