School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,
MARK MORRIS HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LONGVIEW SCHOOL DISTRICT,1602 MARK MORRIS COURT,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,9-12,0,0,
MARK TWAIN ELEMENTARY,2016-17,Y,94,98.9%,0.0%,0.0%,1.1%,1.1%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,98.9%,98.9%,100.0%,93,0,0,1,1,0,0,0,0,0,0,1,1,0,PUBLIC SCHOOL,PASCO SCHOOL DISTRICT,1801 N ROAD 40,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -5,1,0,
MARK TWAIN ELEMENTARY SCHOOL,2016-17,Y,99,92.9%,1.0%,0.0%,6.1%,2.0%,4.0%,0.0%,0.0%,92.9%,92.9%,92.9%,92.9%,94.9%,92.9%,92,1,0,6,2,4,0,0,7,7,7,7,5,7,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,2450 S STAR LAKE RD,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
MARLIN HUTTERITE SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,WILSON CREEK SCHOOL DISTRICT,21344 RD 18 NE,WARDEN,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-12,1,1,
MARRION ELEMENTARY SCHOOL,2016-17,Y,84,72.6%,0.0%,26.2%,1.2%,1.2%,0.0%,0.0%,0.0%,90.5%,90.5%,90.5%,84.5%,91.7%,91.7%,61,0,22,1,1,0,0,0,8,8,8,13,7,7,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),10119 NE 14TH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,
MARSHALL ELEMENTARY,2016-17,Y,61,86.9%,3.3%,8.2%,1.6%,0.0%,1.6%,0.0%,0.0%,93.4%,93.4%,93.4%,95.1%,93.4%,93.4%,53,2,5,1,0,1,0,0,4,4,4,3,4,4,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,4407 116TH ST NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,
MARTHA LAKE ELEMENTARY,2016-17,Y,63,81.0%,3.2%,14.3%,1.6%,0.0%,1.6%,0.0%,0.0%,84.1%,84.1%,85.7%,87.3%,92.1%,87.3%,51,2,9,1,0,1,0,0,10,10,9,8,5,8,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,17500 LARCH WAY,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,
MARTIN LUTHER KING ELEMENTARY,2016-17,Y,78,88.5%,5.1%,2.6%,3.8%,0.0%,3.8%,0.0%,0.0%,93.6%,93.6%,97.4%,96.2%,94.9%,93.6%,69,4,2,3,0,3,0,0,5,5,2,3,4,5,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,4801 IDAHO ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,
MARTIN LUTHER KING JR ELEMENTARY,2016-17,Y,94,93.6%,4.3%,0.0%,2.1%,2.1%,0.0%,0.0%,0.0%,95.7%,96.8%,96.8%,96.8%,95.7%,96.8%,88,4,0,2,2,0,0,0,4,3,3,3,4,3,PUBLIC SCHOOL,YAKIMA SCHOOL DISTRICT,2000 S 18TH ST,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,1,0,
MARTIN LUTHER KING JR. ELEMENTARY SCHOOL,2016-17,Y,57,87.7%,0.0%,12.3%,0.0%,0.0%,0.0%,0.0%,0.0%,87.7%,87.7%,89.5%,89.5%,96.5%,89.5%,50,0,7,0,0,0,0,0,7,7,6,6,2,6,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,7740 34 AVE SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
MARTIN SORTUN ELEMENTARY SCHOOL,2016-17,Y,84,81.0%,4.8%,7.1%,7.1%,1.2%,4.8%,1.2%,0.0%,88.1%,88.1%,88.1%,86.9%,88.1%,90.5%,68,4,6,6,1,4,1,0,10,10,10,11,10,8,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,12711 SE 248TH ST,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
MARVISTA ELEMENTARY,2016-17,Y,77,90.9%,0.0%,9.1%,0.0%,0.0%,0.0%,0.0%,0.0%,98.7%,98.7%,94.8%,96.1%,97.4%,93.5%,70,0,7,0,0,0,0,0,1,1,4,3,2,5,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,19800 MARINE VIEW DR SW,NORMANDY PARK,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,1,1,
MARY M KNIGHT ELEMENTARY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUBLIC SCHOOL,MARY M KNIGHT SCHOOL DISTRICT,1500 W BEEVILLE LOOP RD,ELMA,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,1,1,
MARY M KNIGHT HIGH SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUBLIC SCHOOL,MARY M KNIGHT SCHOOL DISTRICT,2987 W MATLOCK BRADY RD,ELMA,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,7-12,0,0,
MARY PURCELL ELEMENTARY SCHOOL,2016-17,Y,72,97.2%,2.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,70,2,0,0,0,0,0,0,1,1,1,1,1,1,PUBLIC SCHOOL,SEDRO-WOOLLEY SCHOOL DISTRICT,700 BENNETT STREET,SEDRO-WOOLLEY,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,
MARY WALKER HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MARY WALKER SCHOOL DISTRICT,PO BOX 159,SPRINGDALE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,
MARYSVILLE ARTS AND TECHNOLOGY HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,7204 27TH AVE NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
MARYSVILLE COOP PROGRAM,2016-17,Y,48,70.8%,4.2%,14.6%,10.4%,4.2%,6.3%,0.0%,0.0%,79.2%,79.2%,77.1%,81.3%,83.3%,75.0%,34,2,7,5,2,3,0,0,10,10,11,9,8,12,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,2415 74TH ST NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,1,0,
MARYSVILLE MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,4923 67TH ST NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,
MARYSVILLE MOUNTAIN VIEW HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,4317 76TH ST NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
MASON,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,3901 N 28TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
MASON COUNTY CHRISTIAN SCHOOL,2016-17,Y,8,25.0%,12.5%,62.5%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,50.0%,37.5%,37.5%,50.0%,37.5%,2,1,5,0,0,0,0,0,5,4,5,5,4,5,PRIVATE SCHOOL,SHELTON SCHOOL DISTRICT,470 E EAGLE RIDGE DR,SHELTON,MASON,EDUCATIONAL SERVICE DISTRICT 113,P-8,1,1,
MATHEIA SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,2205 NW 67TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,1,0,
MATTAWA ELEMENTARY,2016-17,Y,73,80.8%,1.4%,16.4%,1.4%,0.0%,1.4%,0.0%,0.0%,87.7%,87.7%,84.9%,87.7%,97.3%,87.7%,59,1,12,1,0,1,0,0,9,9,11,9,2,9,PUBLIC SCHOOL,WAHLUKE SCHOOL DISTRICT,P.O. BOX 907,MATTAWA,GRANT,EDUCATIONAL SERVICE DISTRICT 105,K -5,1,0,
MATTSON MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,16400 SE 251ST ST,COVINGTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,0,0,
MAYA ANGELOU ELEMENTARY,2016-17,Y,109,98.2%,0.9%,0.0%,0.9%,0.9%,0.0%,0.0%,0.0%,99.1%,99.1%,99.1%,99.1%,99.1%,98.2%,107,1,0,1,1,0,0,0,1,1,1,1,1,2,PUBLIC SCHOOL,PASCO SCHOOL DISTRICT,6001 ROAD 84,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -5,1,0,
MAYFLOWER CHRISTIAN SCHOOL,2016-17,Y,5,80.0%,0.0%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,4,0,0,1,0,1,0,0,1,1,1,1,1,1,PRIVATE SCHOOL,CLE ELUM-ROSLYN SCHOOL DISTRICT,541 E 3RD ST,CLE ELUM,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,P-1,1,0,
MAYWOOD HILLS ELEMENTARY,2016-17,Y,175,89.7%,0.6%,2.9%,6.9%,1.1%,6.3%,0.0%,0.6%,92.0%,92.0%,92.6%,92.6%,92.6%,91.4%,157,1,5,12,2,11,0,1,14,14,13,13,13,15,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,19510 104 AV NE,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
MAYWOOD MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,14490 168TH AVE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
MC DONALD ELEMENTARY,2016-17,Y,66,84.8%,0.0%,4.5%,10.6%,3.0%,9.1%,0.0%,0.0%,90.9%,90.9%,89.4%,89.4%,89.4%,89.4%,56,0,3,7,2,6,0,0,6,6,7,7,7,7,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,4400 INTERLAKE AV N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
MCALDER ELEMENTARY - CASCADE CHRISTIAN SCHOOL,2016-17,Y,17,76.5%,0.0%,0.0%,23.5%,0.0%,17.6%,5.9%,0.0%,76.5%,76.5%,76.5%,76.5%,88.2%,82.4%,13,0,0,4,0,3,1,0,4,4,4,4,2,3,PRIVATE SCHOOL,SUMNER SCHOOL DISTRICT,15502 96TH ST E,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-6,1,1,
MCAULIFFE ELEMENTARY,2016-17,Y,86,91.9%,1.2%,4.7%,2.3%,1.2%,1.2%,0.0%,0.0%,97.7%,96.5%,96.5%,97.7%,95.3%,96.5%,79,1,4,2,1,1,0,0,2,3,3,2,4,3,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,23823 NE 22ND,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
MCCARVER ELEMENTARY SCHOOL,2016-17,Y,72,52.8%,1.4%,44.4%,1.4%,0.0%,1.4%,0.0%,0.0%,70.8%,98.6%,68.1%,65.3%,87.5%,68.1%,38,1,32,1,0,1,0,0,21,1,23,25,9,23,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,2111 S J ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
MCCLEARY ELEM,2016-17,Y,49,49.0%,2.0%,49.0%,0.0%,0.0%,0.0%,0.0%,0.0%,59.2%,59.2%,67.3%,59.2%,73.5%,71.4%,24,1,24,0,0,0,0,0,20,20,16,20,13,14,PUBLIC SCHOOL,MCCLEARY SCHOOL DISTRICT,611 S. MAIN ST.,MCCLEARY,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-8,1,1,
MCCLURE ELEMENTARY SCHOOL,2016-17,Y,109,69.7%,0.0%,29.4%,0.9%,0.0%,0.9%,0.0%,0.0%,87.2%,87.2%,84.4%,81.7%,89.0%,84.4%,76,0,32,1,0,1,0,0,14,14,17,20,12,17,PUBLIC SCHOOL,GRANDVIEW SCHOOL DISTRICT,811 W 2ND ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,1,0,
MCCLURE ELEMENTARY SCHOOL,2016-17,Y,97,96.9%,2.1%,0.0%,1.0%,1.0%,0.0%,0.0%,0.0%,99.0%,99.0%,96.9%,99.0%,100.0%,96.9%,94,2,0,1,1,0,0,0,1,1,3,1,0,3,PUBLIC SCHOOL,YAKIMA SCHOOL DISTRICT,1222 S 2ND AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,1,0,
MCCLURE MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,1915 1 AV W,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
MCDERMOTH ELEMENTARY,2016-17,Y,58,79.3%,19.0%,0.0%,1.7%,0.0%,1.7%,0.0%,0.0%,82.8%,82.8%,82.8%,79.3%,89.7%,84.5%,46,11,0,1,0,1,0,0,10,10,10,12,6,9,PUBLIC SCHOOL,ABERDEEN SCHOOL DISTRICT,409 NORTH K ST,ABERDEEN,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -6,1,1,
MCDONALD ELEMENTARY SCHOOL,2016-17,Y,59,74.6%,1.7%,8.5%,15.3%,0.0%,13.6%,0.0%,1.7%,83.1%,83.1%,83.1%,79.7%,88.1%,76.3%,44,1,5,9,0,8,0,1,10,10,10,12,7,14,PUBLIC SCHOOL,CENTRAL VALLEY SCHOOL DISTRICT,1512 S. MCDONALD RD.,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,1,0,
MCFARLAND MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,OTHELLO SCHOOL DISTRICT,790 S 10TH AVE,OTHELLO,ADAMS,EDUCATIONAL SERVICE DISTRICT 123,6-8,0,1,
MCGILVRA ELEMENTARY SCHOOL,2016-17,Y,48,95.8%,0.0%,2.1%,2.1%,0.0%,2.1%,0.0%,0.0%,97.9%,97.9%,97.9%,97.9%,97.9%,95.8%,46,0,1,1,0,1,0,0,1,1,1,1,1,2,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,1617 38 AV E,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
MCKENNA ELEMENTARY,2016-17,Y,71,88.7%,2.8%,1.4%,7.0%,2.8%,2.8%,1.4%,0.0%,88.7%,88.7%,90.1%,91.5%,94.4%,90.1%,63,2,1,5,2,2,1,0,8,8,7,6,4,7,PUBLIC SCHOOL,YELM SCHOOL DISTRICT,PO BOX 476,YELM,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,1,1,
MCKENNY ELEMENTARY,2016-17,Y,49,73.5%,2.0%,22.4%,2.0%,0.0%,2.0%,0.0%,0.0%,89.8%,89.8%,89.8%,85.7%,85.7%,83.7%,36,1,11,1,0,1,0,0,5,5,5,7,7,8,PUBLIC SCHOOL,OLYMPIA SCHOOL DISTRICT,3250 MORSE MERRYMAN RD SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,1,0,
MCKINLEY ELEMENTARY SCHOOL,2016-17,Y,66,95.5%,1.5%,0.0%,3.0%,3.0%,0.0%,0.0%,0.0%,97.0%,97.0%,98.5%,100.0%,100.0%,97.0%,63,1,0,2,2,0,0,0,2,2,1,0,0,2,PUBLIC SCHOOL,YAKIMA SCHOOL DISTRICT,621 S 13TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,1,0,
MCKNIGHT MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,RENTON SCHOOL DISTRICT,1200 EDMONDS AVE NE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
MCLANE ELEMENTARY SCHOOL,2016-17,Y,45,73.3%,2.2%,24.4%,0.0%,0.0%,0.0%,0.0%,0.0%,84.4%,84.4%,84.4%,82.2%,82.2%,82.2%,33,1,11,0,0,0,0,0,7,7,7,8,8,8,PUBLIC SCHOOL,OLYMPIA SCHOOL DISTRICT,200 DELPHI RD SW,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,1,0,
MCLOUGHLIN MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,PASCO SCHOOL DISTRICT,2803 N ROAD 88,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,6-8,0,1,
MCLOUGHLIN MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,5802 MACARTHUR BLVD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,0,1,
MCMICKEN HEIGHTS ELEMENTARY,2016-17,Y,83,60.2%,0.0%,39.8%,0.0%,0.0%,0.0%,0.0%,0.0%,81.9%,81.9%,72.3%,77.1%,92.8%,83.1%,50,0,33,0,0,0,0,0,15,15,23,19,6,14,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,3708 S 168TH ST,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,1,1,
MCMURRAY MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,VASHON ISLAND SCHOOL DISTRICT,9329 SW CEMETERY RD,VASHON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
MEAD ALTERNATIVE HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MEAD SCHOOL DISTRICT,529 W HASTINGS,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,
MEAD ELEMENTARY,2016-17,Y,120,89.2%,1.7%,7.5%,1.7%,0.0%,1.7%,0.0%,0.0%,92.5%,92.5%,91.7%,91.7%,95.0%,91.7%,107,2,9,2,0,2,0,0,9,9,10,10,6,10,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,1725 216TH AVE NE,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
MEAD SENIOR HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MEAD SCHOOL DISTRICT,302 W HASTINGS RD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,
MEADOW RIDGE ELEMENTARY,2016-17,Y,61,95.1%,0.0%,1.6%,3.3%,0.0%,3.3%,0.0%,0.0%,96.7%,96.7%,95.1%,96.7%,96.7%,95.1%,58,0,1,2,0,2,0,0,2,2,3,2,2,3,PUBLIC SCHOOL,MEAD SCHOOL DISTRICT,15601 N FREYA ST,MEAD,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,1,1,
MEADOW RIDGE ELEMENTARY SCHOOL,2016-17,Y,84,85.7%,4.8%,7.1%,2.4%,0.0%,1.2%,0.0%,1.2%,88.1%,88.1%,91.7%,91.7%,94.0%,89.3%,72,4,6,2,0,1,0,1,10,10,7,7,5,9,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,27710 108TH AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
MEADOWDALE ELEMENTARY SCHOOL,2016-17,Y,89,84.3%,4.5%,2.2%,9.0%,1.1%,7.9%,0.0%,0.0%,92.1%,92.1%,91.0%,93.3%,91.0%,86.5%,75,4,2,8,1,7,0,0,7,7,8,6,8,12,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,6505 168TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,
MEADOWDALE HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,6002 168TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
MEADOWDALE MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,6500 168TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,0,0,
MEADOWGLADE SDA SCHOOL,2016-17,Y,18,88.9%,0.0%,0.0%,11.1%,0.0%,11.1%,0.0%,0.0%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,16,0,0,2,0,2,0,0,2,2,2,2,2,2,PRIVATE SCHOOL,BATTLE GROUND SCHOOL DISTRICT,18717 NE 109TH AVE,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-8,1,1,
MEADOWS ELEMENTARY,2016-17,Y,107,15.0%,0.0%,85.0%,0.0%,0.0%,0.0%,0.0%,0.0%,18.7%,18.7%,18.7%,16.8%,28.0%,16.8%,16,0,91,0,0,0,0,0,87,87,87,89,77,89,PUBLIC SCHOOL,NORTH THURSTON PUBLIC SCHOOLS,836 DEERBRUSH DR SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,1,1,
MEDICAL LAKE ALTERNATIVE HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MEDICAL LAKE SCHOOL DISTRICT,PO BOX 128,MEDICAL LAKE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,
