School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
SLAVIC CHRISTIAN ACADEMY--EDGEWOOD,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PUYALLUP SCHOOL DISTRICT,10622 8TH ST E,EDGEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
SLAVIC CHRISTIAN ACADEMY--LAKEWOOD,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,LAKEWOOD SCHOOL DISTRICT,50602 112 ST SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-2,Y,N
SLAVIC CHRISTIAN ACADEMY--SPOKANE,2014-15,71,25.4%,11.3%,36.6%,26.8%,0.0%,26.8%,0.0%,0.0%,28.2%,28.2%,29.6%,25.4%,29.6%,28.2%,18,8,26,19,0,19,0,0,51,51,50,53,50,51,Y,MEAD SCHOOL DISTRICT,8913 N NETTLETON LN,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-12,Y,Y
SLAVIC CHRISTIAN ACADEMY--TACOMA,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,TACOMA SCHOOL DISTRICT,2014 S 15TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-10,Y,Y
SLAVIC CHRISTIAN ACADEMY-VANCOUVER,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,EVERGREEN SCHOOL DISTRICT (CLARK),15407 NE 84TH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,P-8,Y,Y
SLAVIC GOSPEL CHURCH (SGC) ACADEMY,2014-15,15,6.7%,20.0%,0.0%,73.3%,0.0%,73.3%,0.0%,0.0%,13.3%,13.3%,13.3%,6.7%,26.7%,6.7%,1,3,0,11,0,11,0,0,13,13,13,14,11,14,Y,FEDERAL WAY SCHOOL DISTRICT,3405 S 336TH ST,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-7,Y,Y
SMITH ELEMENTARY,2014-15,68,72.1%,0.0%,25.0%,2.9%,1.5%,0.0%,1.5%,0.0%,83.8%,83.8%,83.8%,79.4%,94.1%,86.8%,49,0,17,2,1,0,1,0,11,11,11,14,4,9,Y,LAKE WASHINGTON SCHOOL DISTRICT,23305 NE 14TH ST,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
SMITH ELEMENTARY SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,GRANDVIEW SCHOOL DISTRICT,205 FIR AVE,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N
SMOKIAM ALTERNATIVE HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SOAP LAKE SCHOOL DISTRICT,PO BOX 1269,SOAP LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N
SNOHOMISH HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SNOHOMISH SCHOOL DISTRICT,1316 FIFTH STREET,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
