School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
CLARKSTON (CHARLES FRANCIS ADAMS) HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CLARKSTON SCHOOL DISTRICT,401 CHESTNUT ST,CLARKSTON,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
CLE ELUM ROSLYN ELEMENTARY,2014-15,63,82.5%,1.6%,6.3%,9.5%,1.6%,7.9%,0.0%,0.0%,90.5%,90.5%,92.1%,85.7%,95.2%,90.5%,52,1,4,6,1,5,0,0,6,6,5,9,3,6,Y,CLE ELUM-ROSLYN SCHOOL DISTRICT,2696 SR 903,CLE ELUM,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N
CLE ELUM ROSLYN HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CLE ELUM-ROSLYN SCHOOL DISTRICT,2692 SR 903,CLE ELUM,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
CLEAR CREEK ELEMENTARY SCHOOL,2014-15,88,85.2%,3.4%,5.7%,5.7%,0.0%,1.1%,3.4%,1.1%,98.9%,98.9%,94.3%,97.7%,97.7%,94.3%,75,3,5,5,0,1,3,1,1,1,5,2,2,5,Y,CENTRAL KITSAP SCHOOL DISTRICT,3999 NW SUNDE ROAD,SILVERDALE,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y
CLEAR LAKE ELEMENTARY SCHOOL,2014-15,35,77.1%,5.7%,2.9%,14.3%,0.0%,14.3%,0.0%,0.0%,82.9%,82.9%,80.0%,80.0%,80.0%,77.1%,27,2,1,5,0,5,0,0,6,6,7,7,7,8,Y,SEDRO-WOOLLEY SCHOOL DISTRICT,PO BOX 128,CLEAR LAKE,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
CLEVELAND HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,5511 15 AVE S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CLIP,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,RIVERVIEW SCHOOL DISTRICT,32302 NE 50TH ST,CARNATION,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CLOVER CREEK ELEMENTARY,2014-15,106,83.0%,5.7%,8.5%,2.8%,0.9%,1.9%,0.0%,0.0%,88.7%,88.7%,91.5%,89.6%,95.3%,89.6%,88,6,9,3,1,2,0,0,12,12,9,11,5,11,Y,BETHEL SCHOOL DISTRICT,16715 36TH AVE E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
CLOVER PARK HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CLOVER PARK SCHOOL DISTRICT,11023 GRAVELLY LK DR SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CLOVIS POINT,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EASTMONT SCHOOL DISTRICT,1855 4TH ST SE,EAST WENATCHEE,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-7,N,Y
CLYDE HILL ELEMENTARY,2014-15,121,82.6%,0.0%,14.0%,3.3%,0.0%,3.3%,0.0%,0.0%,91.7%,100.0%,90.1%,91.7%,92.6%,90.1%,100,0,17,4,0,4,0,0,10,0,12,10,9,12,Y,BELLEVUE SCHOOL DISTRICT,9601 NE 24TH STREET,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
COLBERT ELEMENTARY SCHOOL,2014-15,55,92.7%,1.8%,1.8%,3.6%,0.0%,1.8%,1.8%,0.0%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,51,1,1,2,0,1,1,0,2,2,2,2,2,2,Y,MEAD SCHOOL DISTRICT,4625 E GREENBLUFF RD,COLBERT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
COLFAX HIGH SCHOOL,2014-15,39,94.9%,0.0%,5.1%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,97.4%,100.0%,97.4%,37,0,2,0,0,0,0,0,0,0,0,1,0,1,Y,COLFAX SCHOOL DISTRICT,1110 N. MORTON STREET,COLFAX,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,7-12,N,N
COLLEGE PLACE ELEMENTARY,2014-15,96,90.6%,3.1%,6.3%,0.0%,0.0%,0.0%,0.0%,0.0%,92.7%,92.7%,93.8%,91.7%,96.9%,92.7%,87,3,6,0,0,0,0,0,7,7,6,8,3,7,Y,EDMONDS SCHOOL DISTRICT,20401 76TH AVE W,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
COLLEGE PLACE MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EDMONDS SCHOOL DISTRICT,7501 208TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N
COLLINS ELEMENTARY,2014-15,78,92.3%,5.1%,0.0%,2.6%,0.0%,2.6%,0.0%,0.0%,97.4%,97.4%,97.4%,97.4%,98.7%,97.4%,72,4,0,2,0,2,0,0,2,2,2,2,1,2,Y,FRANKLIN PIERCE SCHOOL DISTRICT,4608 128TH ST E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
COLTON SCHOOL,2014-15,12,83.3%,0.0%,0.0%,16.7%,0.0%,16.7%,0.0%,0.0%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,10,0,0,2,0,2,0,0,2,2,2,2,2,2,Y,COLTON SCHOOL DISTRICT,706 UNION,COLTON,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-12,Y,Y
COLUMBIA ADVENTIST ACADEMY,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BATTLE GROUND SCHOOL DISTRICT,11100 NE 189TH ST,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
COLUMBIA CREST ELEMENTARY SCHOOL,2014-15,23,87.0%,0.0%,8.7%,4.3%,4.3%,0.0%,0.0%,0.0%,91.3%,91.3%,95.7%,91.3%,95.7%,91.3%,20,0,2,1,1,0,0,0,2,2,1,2,1,2,Y,EATONVILLE SCHOOL DISTRICT,24503 STATE ROUTE 706 E,ASHFORD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
COLUMBIA ELEMENTARY,2014-15,67,92.5%,3.0%,0.0%,4.5%,1.5%,1.5%,1.5%,0.0%,95.5%,92.5%,97.0%,97.0%,95.5%,97.0%,62,2,0,3,1,1,1,0,3,5,2,2,3,2,Y,COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,755 MAPLE STREET,BURBANK,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
COLUMBIA ELEMENTARY,2014-15,60,90.0%,0.0%,3.3%,6.7%,0.0%,6.7%,0.0%,0.0%,91.7%,100.0%,91.7%,90.0%,95.0%,91.7%,54,0,2,4,0,4,0,0,5,0,5,6,3,5,Y,MUKILTEO SCHOOL DISTRICT,10520 HARBOUR POINTE BLVD,MUKILTEO,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
COLUMBIA ELEMENTARY SCHOOL,2014-15,37,56.8%,8.1%,18.9%,16.2%,2.7%,13.5%,0.0%,0.0%,81.1%,81.1%,86.5%,75.7%,64.9%,70.3%,21,3,7,6,1,5,0,0,7,7,5,9,13,11,Y,BELLINGHAM SCHOOL DISTRICT,2508 UTTER ST,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
COLUMBIA ELEMENTARY SCHOOL,2014-15,87,97.7%,0.0%,0.0%,2.3%,1.1%,1.1%,0.0%,0.0%,98.9%,98.9%,97.7%,97.7%,97.7%,97.7%,85,0,0,2,1,1,0,0,1,1,2,2,2,2,Y,WENATCHEE SCHOOL DISTRICT,600 ALASKA ST,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
COLUMBIA GORGE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,STEVENSON-CARSON SCHOOL DISTRICT,441 HOT SPRINGS AVENUE,CARSON,SKAMANIA,EDUCATIONAL SERVICE DISTRICT 112,K-12,Y,Y
COLUMBIA HEIGHTS ELEMENTARY,2014-15,50,92.0%,2.0%,6.0%,0.0%,0.0%,0.0%,0.0%,0.0%,94.0%,94.0%,92.0%,94.0%,98.0%,94.0%,46,1,3,0,0,0,0,0,3,3,4,3,1,3,Y,LONGVIEW SCHOOL DISTRICT,2820 PARKVIEW DRIVE,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
COLUMBIA HIGH AND ELEMENTARY,2014-15,10,90.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,90.0%,90.0%,9,1,0,0,0,0,0,0,0,0,0,0,1,1,Y,COLUMBIA (STEVENS) SCHOOL DISTRICT,PO BOX 7,HUNTERS,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,PK-12,Y,Y
COLUMBIA HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,755 MAPLE STREET,BURBANK,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
COLUMBIA HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,WHITE SALMON VALLEY SCHOOL DISTRICT,PO BOX 1339,WHITE SALMON,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
COLUMBIA JUNIOR HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,FIFE SCHOOL DISTRICT,2901 54TH AVENUE E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-9,N,N
COLUMBIA MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,755 MAPLE STREET,BURBANK,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y
COLUMBIA RIDGE ELEMENTARY,2014-15,94,78.7%,2.1%,18.1%,1.1%,0.0%,0.0%,0.0%,1.1%,83.0%,83.0%,81.9%,81.9%,87.2%,84.0%,74,2,17,1,0,0,0,1,16,16,17,17,12,15,Y,EPHRATA SCHOOL DISTRICT,60 H SE,EPHRATA,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,Y,N
COLUMBIA RIVER HIGH,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,VANCOUVER SCHOOL DISTRICT,800 NW 99TH ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
COLUMBIA VALLEY ELEMENTARY,2014-15,78,51.3%,2.6%,44.9%,1.3%,0.0%,0.0%,0.0%,1.3%,61.5%,60.3%,66.7%,59.0%,75.6%,66.7%,40,2,35,1,0,0,0,1,30,31,26,32,19,26,Y,EVERGREEN SCHOOL DISTRICT (CLARK),17500 SE SEQUOIA CR,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
COLUMBIA VALLEY GARDEN ELEM SCHL,2014-15,63,95.2%,0.0%,1.6%,3.2%,1.6%,1.6%,0.0%,0.0%,95.2%,95.2%,95.2%,95.2%,96.8%,95.2%,60,0,1,2,1,1,0,0,3,3,3,3,2,3,Y,LONGVIEW SCHOOL DISTRICT,2644 30TH AVENUE,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
COLVILLE JUNIOR HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COLVILLE SCHOOL DISTRICT,990 S CEDAR ST,COLVILLE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y
COLVILLE SENIOR HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COLVILLE SCHOOL DISTRICT,154 HIGHWAY 20 E,COLVILLE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
COLVILLE VALLEY JUNIOR ACADEMY,2014-15,4,50.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,2,0,0,2,0,2,0,0,2,2,2,2,2,2,Y,COLVILLE SCHOOL DISTRICT,139 E CEDAR LP,COLVILLE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K-8,Y,Y
COMM BASED TRANS PROGRAM,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,601 S 8TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,11-12,N,N
COMMUNITY CHRISTIAN ACADEMY,2014-15,24,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,24,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH THURSTON PUBLIC SCHOOLS,4706 PARK CENTER AVE NE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y
COMMUNITY MONTESSORI,2014-15,6,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,1407 SOUTH I ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
COMMUNITY SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,LAKE WASHINGTON SCHOOL DISTRICT,11133 NE 65TH,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-5,N,N
COMPASS HIGH SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,GRANDVIEW SCHOOL DISTRICT,913 W 2ND ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
CONCORD INTERNATIONAL SCHOOL,2014-15,84,73.8%,0.0%,26.2%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,78.6%,78.6%,88.1%,78.6%,62,0,22,0,0,0,0,0,0,0,18,18,10,18,Y,SEATTLE PUBLIC SCHOOLS,723 S CONCORD ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
CONCORDIA LUTHERAN SCHOOL,2014-15,11,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,7040 36TH AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
CONCORDIA LUTHERAN SCHOOL,2014-15,21,85.7%,4.8%,0.0%,9.5%,0.0%,9.5%,0.0%,0.0%,85.7%,85.7%,90.5%,85.7%,85.7%,90.5%,18,1,0,2,0,2,0,0,3,3,2,3,3,2,Y,TACOMA SCHOOL DISTRICT,202 E 56TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
CONCRETE ELEMENTARY,2014-15,41,87.8%,0.0%,0.0%,12.2%,4.9%,4.9%,0.0%,2.4%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,36,0,0,5,2,2,0,1,4,4,4,4,4,4,Y,CONCRETE SCHOOL DISTRICT,7838 S SUPERIOR AVE,CONCRETE,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
CONCRETE HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CONCRETE SCHOOL DISTRICT,7830 S SUPERIOR AVE,CONCRETE,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
CONNELL ELEM,2014-15,83,85.5%,4.8%,9.6%,0.0%,0.0%,0.0%,0.0%,0.0%,90.4%,90.4%,91.6%,91.6%,96.4%,89.2%,71,4,8,0,0,0,0,0,8,8,7,7,3,9,Y,NORTH FRANKLIN SCHOOL DISTRICT,PO BOX 829,CONNELL,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y
CONNELL HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH FRANKLIN SCHOOL DISTRICT,PO BOX 829,CONNELL,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
CONTINUOUS CURRICULUM SCHOOL,2014-15,69,87.0%,1.4%,1.4%,10.1%,5.8%,5.8%,0.0%,0.0%,92.8%,92.8%,91.3%,92.8%,92.8%,91.3%,60,1,1,7,4,4,0,0,5,5,6,5,5,6,Y,EAST VALLEY SCHOOL DISTRICT (SPOKANE),16924 E WELLESLEY,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y
CONTRACT LEARNING CENTER,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,GRANDVIEW SCHOOL DISTRICT,913 W 2ND ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
CONWAY SCHOOL,2014-15,47,91.5%,0.0%,0.0%,8.5%,0.0%,8.5%,0.0%,0.0%,95.7%,95.7%,95.7%,95.7%,93.6%,95.7%,43,0,0,4,0,4,0,0,2,2,2,2,3,2,Y,CONWAY SCHOOL DISTRICT,19710 STATE ROUTE 564,MOUNT VERNON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
COOPER ELEMENTARY,2014-15,83,78.3%,0.0%,13.3%,8.4%,0.0%,4.8%,1.2%,0.0%,85.5%,85.5%,83.1%,84.3%,86.7%,83.1%,65,0,11,7,0,4,1,0,12,12,14,13,11,14,Y,SPOKANE SCHOOL DISTRICT,3200 N FERRALL ST,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
CORDATA ELEMENTARY SCHOOL,2014-15,59,78.0%,8.5%,5.1%,8.5%,3.4%,5.1%,0.0%,0.0%,86.4%,86.4%,88.1%,84.7%,88.1%,83.1%,46,5,3,5,2,3,0,0,8,8,7,9,7,10,Y,BELLINGHAM SCHOOL DISTRICT,4420 ALDRICH RD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
CORNERSTONE ACADEMY,2014-15,12,83.3%,0.0%,0.0%,16.7%,0.0%,16.7%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,83.3%,10,0,0,2,0,2,0,0,0,0,0,0,0,2,Y,MONROE SCHOOL DISTRICT,14377 FRYELANDS BLVD SE,MONROE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-7,Y,Y
CORNERSTONE CHRISTIAN ACADEMY,2014-15,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SPOKANE SCHOOL DISTRICT,4224 E 4TH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K-8,Y,Y
CORNERSTONE CHRISTIAN SCHOOL,2014-15,28,96.4%,0.0%,0.0%,3.6%,0.0%,3.6%,0.0%,0.0%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,27,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,EVERGREEN SCHOOL DISTRICT (CLARK),7708 NE 78TH ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-8,Y,Y
CORNERSTONE CHRISTIAN SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,LYNDEN SCHOOL DISTRICT,8872 NORTHWOOD RD,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,1-12,N,Y
CORNERSTONE CHRISTIAN SCHOOL,2014-15,11,72.7%,0.0%,18.2%,9.1%,0.0%,9.1%,0.0%,0.0%,81.8%,81.8%,81.8%,72.7%,81.8%,81.8%,8,0,2,1,0,1,0,0,2,2,2,3,2,2,Y,OLYMPIA SCHOOL DISTRICT,5501 WIGGINS RD SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y
COSMOPOLIS ELEMENTARY SCHOOL,2014-15,23,82.6%,0.0%,8.7%,8.7%,4.3%,4.3%,0.0%,0.0%,82.6%,82.6%,87.0%,82.6%,91.3%,82.6%,19,0,2,2,1,1,0,0,4,4,3,4,2,4,Y,COSMOPOLIS SCHOOL DISTRICT,216 S. 11TH ST.,COSMOPOLIS,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
COTTAGE LAKE ELEMENTARY,2014-15,46,93.5%,0.0%,0.0%,6.5%,0.0%,6.5%,0.0%,0.0%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,43,0,0,3,0,3,0,0,3,3,3,3,3,3,Y,NORTHSHORE SCHOOL DISTRICT,15940 AVONDALE RD NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
COTTONWOOD ELEMENTARY,2014-15,99,92.9%,3.0%,0.0%,4.0%,3.0%,1.0%,0.0%,0.0%,96.0%,96.0%,96.0%,97.0%,96.0%,96.0%,92,3,0,4,3,1,0,0,4,4,4,3,4,4,Y,KENNEWICK SCHOOL DISTRICT,16734 S. COTTONWOOD CREEK BLVD.,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
COTTONWOOD ELEMENTARY SCHOOL,2014-15,41,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,41,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CENTRAL KITSAP SCHOOL DISTRICT,330 NE FOSTER ROAD,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y
COTTONWOOD ELEMENTARY SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,WEST VALLEY SCHOOL DISTRICT (YAKIMA),1041 S 96TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N
COUGAR CREEK ELEMENTARY SCHOOL,2014-15,60,83.3%,1.7%,3.3%,11.7%,6.7%,5.0%,0.0%,1.7%,90.0%,90.0%,86.7%,88.3%,88.3%,85.0%,50,1,2,7,4,3,0,1,6,6,8,7,7,9,Y,LAKEWOOD SCHOOL DISTRICT,P.O. BOX 128,NORTH LAKEWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
