School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
LOWELL ELEMENTARY,2013-14,88,75.0%,4.5%,17.0%,3.4%,1.1%,2.3%,0.0%,0.0%,79.5%,100.0%,80.7%,79.5%,89.8%,81.8%,66,4,15,3,1,2,0,0,18,0,17,18,9,16,Y,EVERETT SCHOOL DISTRICT,5010 VIEW DR.,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
LOWELL ELEMENTARY SCHOOL,2013-14,50,86.0%,6.0%,0.0%,8.0%,2.0%,6.0%,0.0%,0.0%,92.0%,92.0%,94.0%,94.0%,92.0%,92.0%,43,3,0,4,1,3,0,0,4,4,3,3,4,4,Y,BELLINGHAM SCHOOL DISTRICT,935 14TH ST,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
LOWELL ELEMENTARY SCHOOL,2013-14,43,46.5%,0.0%,41.9%,11.6%,7.0%,4.7%,0.0%,0.0%,100.0%,100.0%,65.1%,62.8%,81.4%,55.8%,20,0,18,5,3,2,0,0,0,0,15,16,8,19,Y,SEATTLE PUBLIC SCHOOLS,1058 E MERCER ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
LOWELL ELEMENTARY SCHOOL,2013-14,67,68.7%,7.5%,14.9%,9.0%,4.5%,4.5%,0.0%,0.0%,85.1%,98.5%,89.6%,89.6%,82.1%,88.1%,46,5,10,6,3,3,0,0,10,1,7,7,12,8,Y,TACOMA SCHOOL DISTRICT,810 N 13TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LOYAL HEIGHTS ELEMENTARY SCHOOL,2013-14,79,91.1%,0.0%,7.6%,1.3%,1.3%,0.0%,0.0%,0.0%,100.0%,100.0%,96.2%,96.2%,97.5%,94.9%,72,0,6,1,1,0,0,0,0,0,3,3,2,4,Y,SEATTLE PUBLIC SCHOOLS,2511 NW 80 ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LUCILLE UMBARGER ELEMENTARY,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BURLINGTON-EDISON SCHOOL DISTRICT,820 S SKAGIT ST,BURLINGTON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
LUMMI HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,FERNDALE SCHOOL DISTRICT,2334 LUMMI VIEW DR.,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
LUMMI TRIBAL ELEMENTARY SCHOOL,2013-14,37,81.1%,0.0%,18.9%,0.0%,0.0%,0.0%,0.0%,0.0%,91.9%,91.9%,86.5%,91.9%,97.3%,83.8%,30,0,7,0,0,0,0,0,3,3,5,3,1,6,Y,FERNDALE SCHOOL DISTRICT,2334 LUMMI VIEW DR.,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
LUTACAGA ELEMENTARY,2013-14,109,97.2%,0.0%,0.9%,1.8%,0.9%,0.9%,0.0%,0.0%,98.2%,98.2%,97.2%,98.2%,99.1%,97.2%,106,0,1,2,1,1,0,0,2,2,3,2,1,3,Y,OTHELLO SCHOOL DISTRICT,795 S 7TH AVE,OTHELLO,ADAMS,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
LYDIA HAWK ELEMENTARY,2013-14,68,52.9%,1.5%,42.6%,2.9%,1.5%,1.5%,0.0%,0.0%,72.1%,72.1%,79.4%,67.6%,83.8%,76.5%,36,1,29,2,1,1,0,0,19,19,14,22,11,16,Y,NORTH THURSTON PUBLIC SCHOOLS,7600 5TH AVE SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y
LYLE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,LYLE SCHOOL DISTRICT,P.O. BOX 368,LYLE,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
LYLE MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,LYLE SCHOOL DISTRICT,P.O. BOX 368,LYLE,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,7-8,N,N
LYMAN ELEMENTARY SCHOOL,2013-14,23,78.3%,0.0%,4.3%,17.4%,13.0%,4.3%,0.0%,0.0%,91.3%,91.3%,95.7%,91.3%,91.3%,87.0%,18,0,1,4,3,1,0,0,2,2,1,2,2,3,Y,SEDRO-WOOLLEY SCHOOL DISTRICT,PO BOX 1308,LYMAN,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
LYNDEN ACADEMY,2013-14,14,85.7%,0.0%,7.1%,7.1%,0.0%,7.1%,0.0%,0.0%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,12,0,1,1,0,1,0,0,2,2,2,2,2,2,Y,LYNDEN SCHOOL DISTRICT,200 S BC AVE STE 102,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,Y,Y
"LYNDEN CHRISTIAN SCHOOL, BELLINGHAM",2013-14,14,71.4%,14.3%,0.0%,14.3%,0.0%,14.3%,0.0%,0.0%,85.7%,85.7%,85.7%,85.7%,71.4%,85.7%,10,2,0,2,0,2,0,0,2,2,2,2,4,2,Y,BELLINGHAM SCHOOL DISTRICT,567 E KELLOGG RD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
LYNDEN CHRISTIAN SCHOOLS,2013-14,53,96.2%,0.0%,0.0%,3.8%,0.0%,3.8%,0.0%,0.0%,98.1%,98.1%,98.1%,98.1%,98.1%,96.2%,51,0,0,2,0,2,0,0,1,1,1,1,1,2,Y,LYNDEN SCHOOL DISTRICT,417 LYNCS DR,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y
LYNDEN HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,LYNDEN SCHOOL DISTRICT,1201 BRADLEY RD,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
LYNDEN MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,LYNDEN SCHOOL DISTRICT,516 MAIN ST,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
LYNNDALE ELEMENTARY,2013-14,74,90.5%,5.4%,0.0%,4.1%,1.4%,1.4%,0.0%,1.4%,94.6%,94.6%,97.3%,95.9%,95.9%,93.2%,67,4,0,3,1,1,0,1,4,4,2,3,3,5,Y,EDMONDS SCHOOL DISTRICT,7200 191ST PL SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
LYNNWOOD ELEMENTARY,2013-14,98,78.6%,0.0%,17.3%,4.1%,1.0%,2.0%,1.0%,0.0%,85.7%,85.7%,84.7%,83.7%,89.8%,84.7%,77,0,17,4,1,2,1,0,14,14,15,16,10,15,Y,EDMONDS SCHOOL DISTRICT,18638 44TH AVE W,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
LYNNWOOD HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EDMONDS SCHOOL DISTRICT,18218 NORTH RD,BOTHELL,KING,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
LYON ELEMENTARY SCHOOL,2013-14,77,71.4%,2.6%,26.0%,0.0%,0.0%,0.0%,0.0%,0.0%,76.6%,100.0%,83.1%,80.5%,90.9%,81.8%,55,2,20,0,0,0,0,0,18,0,13,15,7,14,Y,TACOMA SCHOOL DISTRICT,101 E 46TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
MABTON JR SR HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MABTON SCHOOL DISTRICT,P.O. BOX 38,MABTON,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,7-12,N,N
MACHIAS ELEMENTARY,2013-14,51,90.2%,2.0%,0.0%,7.8%,5.9%,2.0%,0.0%,0.0%,92.2%,92.2%,90.2%,92.2%,94.1%,90.2%,46,1,0,4,3,1,0,0,4,4,5,4,3,5,Y,SNOHOMISH SCHOOL DISTRICT,231 14TH AVENUE SE,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
MADISON ELEMENTARY,2013-14,78,76.9%,0.0%,16.7%,6.4%,0.0%,5.1%,1.3%,0.0%,84.6%,84.6%,87.2%,84.6%,88.5%,79.5%,60,0,13,5,0,4,1,0,12,12,10,12,9,16,Y,EVERETT SCHOOL DISTRICT,616 PECKS DR,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
MADISON ELEMENTARY,2013-14,102,91.2%,1.0%,2.9%,4.9%,2.0%,2.0%,1.0%,0.0%,96.1%,96.1%,96.1%,96.1%,96.1%,95.1%,93,1,3,5,2,2,1,0,4,4,4,4,4,5,Y,MOUNT VERNON SCHOOL DISTRICT,907 E FIR ST,MOUNT VERNON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
MADISON ELEMENTARY,2013-14,65,41.5%,0.0%,56.9%,1.5%,0.0%,0.0%,1.5%,0.0%,56.9%,56.9%,58.5%,61.5%,70.8%,56.9%,27,0,37,1,0,0,1,0,28,28,27,25,19,28,Y,SPOKANE SCHOOL DISTRICT,319 W NEBRASKA AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
MADISON ELEMENTARY SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,OLYMPIA SCHOOL DISTRICT,1225 LEGION WAY SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N
MADISON MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,3429 45 AVE SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MADRONA ELEMENTARY,2013-14,107,48.6%,51.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,86.9%,86.9%,92.5%,88.8%,89.7%,90.7%,52,55,0,0,0,0,0,0,14,14,8,12,11,10,Y,HIGHLINE SCHOOL DISTRICT,20301 32ND AVENUE SOUTH,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
MADRONA K-8 SCHOOL,2013-14,39,61.5%,0.0%,38.5%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,76.9%,69.2%,92.3%,76.9%,24,0,15,0,0,0,0,0,0,0,9,12,3,9,Y,SEATTLE PUBLIC SCHOOLS,1121 33 AV,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-8,Y,Y
MADRONA NONGRADED,2013-14,63,74.6%,0.0%,15.9%,9.5%,1.6%,7.9%,0.0%,0.0%,87.3%,87.3%,87.3%,85.7%,85.7%,85.7%,47,0,10,6,1,5,0,0,8,8,8,9,9,9,Y,EDMONDS SCHOOL DISTRICT,9300 236TH ST SW,EDMONDS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-8,Y,Y
MADRONA SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BAINBRIDGE ISLAND SCHOOL DISTRICT,219 MADISON AVE N,BAINBRIDGE ISLAND,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
MAKKAH ISLAMIC SCHOOL,2013-14,18,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,3613 S JUNEAU ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
MALTBY ELEMENTARY,2013-14,66,83.3%,4.5%,0.0%,12.1%,3.0%,9.1%,0.0%,0.0%,87.9%,87.9%,86.4%,90.9%,92.4%,83.3%,55,3,0,8,2,6,0,0,8,8,9,6,5,11,Y,MONROE SCHOOL DISTRICT,9700 212TH ST. SE,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
MANCHESTER ELEMENTARY SCHOOL,2013-14,62,93.5%,0.0%,1.6%,4.8%,1.6%,3.2%,0.0%,0.0%,95.2%,95.2%,93.5%,95.2%,95.2%,93.5%,58,0,1,3,1,2,0,0,3,3,4,3,3,4,Y,SOUTH KITSAP SCHOOL DISTRICT,1901 CALIFORNIA AVE E,PORT ORCHARD,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -6,Y,Y
MANITOU PARK ELEMENTARY SCHOOL,2013-14,90,93.3%,0.0%,4.4%,2.2%,0.0%,2.2%,0.0%,0.0%,97.8%,98.9%,97.8%,97.8%,96.7%,95.6%,84,0,4,2,0,2,0,0,2,1,2,2,3,4,Y,TACOMA SCHOOL DISTRICT,4330 S 66TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
MANN ELEMENTARY,2013-14,65,72.3%,1.5%,26.2%,0.0%,0.0%,0.0%,0.0%,0.0%,87.7%,87.7%,80.0%,81.5%,95.4%,78.5%,47,1,17,0,0,0,0,0,8,8,13,12,3,14,Y,LAKE WASHINGTON SCHOOL DISTRICT,17001 NE 104TH,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MANN ELEMENTARY SCHOOL,2013-14,91,83.5%,1.1%,12.1%,3.3%,1.1%,3.3%,0.0%,0.0%,89.0%,97.8%,90.1%,90.1%,93.4%,90.1%,76,1,11,3,1,3,0,0,10,2,9,9,6,9,Y,TACOMA SCHOOL DISTRICT,1002 S 52ND ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
MANN MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CLOVER PARK SCHOOL DISTRICT,11509 HOLDEN RD SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MANSFIELD ELEM AND HIGH SCHOOL,2013-14,7,85.7%,0.0%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,6,0,1,0,0,0,0,0,1,1,1,1,1,1,Y,MANSFIELD SCHOOL DISTRICT,P.O. BOX 188,MANSFIELD,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-12,Y,Y
MANSON ELEMENTARY,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MANSON SCHOOL DISTRICT,BOX A,MANSON,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
MANSON MIDDLE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MANSON SCHOOL DISTRICT,PO BOX A,MANSON,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-12,N,Y
MAPLE ELEMENTARY SCHOOL,2013-14,68,72.1%,0.0%,26.5%,1.5%,1.5%,0.0%,0.0%,0.0%,100.0%,100.0%,80.9%,86.8%,95.6%,82.4%,49,0,18,1,1,0,0,0,0,0,13,9,3,12,Y,SEATTLE PUBLIC SCHOOLS,4925 CORSON AV S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MAPLE GROVE K-8,2013-14,54,74.1%,1.9%,9.3%,14.8%,0.0%,13.0%,0.0%,1.9%,79.6%,79.6%,87.0%,85.2%,85.2%,85.2%,40,1,5,8,0,7,0,1,11,11,7,8,8,8,Y,BATTLE GROUND SCHOOL DISTRICT,PO BOX 200,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-8,Y,Y
MAPLE HILLS ELEMENTARY,2013-14,50,94.0%,2.0%,0.0%,4.0%,2.0%,2.0%,0.0%,0.0%,96.0%,96.0%,96.0%,96.0%,96.0%,94.0%,47,1,0,2,1,1,0,0,2,2,2,2,2,3,Y,ISSAQUAH SCHOOL DISTRICT,15644 204TH AVE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MAPLE LAWN ELEMENTARY,2013-14,92,93.5%,0.0%,1.1%,5.4%,3.3%,1.1%,1.1%,0.0%,97.8%,97.8%,95.7%,94.6%,97.8%,96.7%,86,0,1,5,3,1,1,0,2,2,4,5,2,3,Y,SUMNER SCHOOL DISTRICT,230 WOOD AVE,SUMNER,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MAPLEWOOD CENTER,2013-14,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EDMONDS SCHOOL DISTRICT,20100 84TH AVE W,EDMONDS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,Y,Y
MAPLEWOOD ELEMENTARY,2013-14,50,90.0%,4.0%,2.0%,4.0%,0.0%,4.0%,0.0%,0.0%,98.0%,100.0%,98.0%,96.0%,94.0%,96.0%,45,2,1,2,0,2,0,0,1,0,1,2,3,2,Y,PUYALLUP SCHOOL DISTRICT,1110 W PIONEER,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
MAPLEWOOD HEIGHTS ELEMENTARY SCHOOL,2013-14,98,95.9%,1.0%,0.0%,3.1%,1.0%,2.0%,0.0%,0.0%,98.0%,98.0%,98.0%,99.0%,98.0%,95.9%,94,1,0,3,1,2,0,0,2,2,2,1,2,4,Y,RENTON SCHOOL DISTRICT,13430 144TH AVE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MAPLEWOOD PARENT COOP,2013-14,46,80.4%,2.2%,8.7%,8.7%,0.0%,8.7%,0.0%,0.0%,93.5%,93.5%,93.5%,89.1%,89.1%,93.5%,37,1,4,4,0,4,0,0,3,3,3,5,5,3,Y,EDMONDS SCHOOL DISTRICT,8500 200TH ST SW,EDMONDS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
MARCUS WHITMAN ELEMENTARY,2013-14,77,83.1%,0.0%,16.9%,0.0%,0.0%,0.0%,0.0%,0.0%,88.3%,88.3%,90.9%,87.0%,97.4%,88.3%,64,0,13,0,0,0,0,0,9,9,7,10,2,9,Y,RICHLAND SCHOOL DISTRICT,1704 GRAY,RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
MARCUS WHITMAN JUNIOR HIGH,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SOUTH KITSAP SCHOOL DISTRICT,1887 MADRONA DR SE,PORT ORCHARD,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,7-9,N,N
MARCUS WHITMAN-COWICHE ELEMENTARY,2013-14,86,86.0%,0.0%,11.6%,2.3%,0.0%,2.3%,0.0%,0.0%,97.7%,97.7%,97.7%,95.3%,89.5%,96.5%,74,0,10,2,0,2,0,0,2,2,2,4,9,3,Y,HIGHLAND SCHOOL DISTRICT,1181 THOMPSON RD,COWICHE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -3,Y,N
MARINER HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MUKILTEO SCHOOL DISTRICT,200 120TH STREET SW,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
MARK MORRIS HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,LONGVIEW SCHOOL DISTRICT,1602 MARK MORRIS COURT,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
MARK TWAIN ELEMENTARY,2013-14,165,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,165,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PASCO SCHOOL DISTRICT,1801 N ROAD 40,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
MARK TWAIN ELEMENTARY SCHOOL,2013-14,110,91.8%,0.0%,8.2%,0.0%,0.0%,0.0%,0.0%,0.0%,99.1%,99.1%,100.0%,99.1%,93.6%,98.2%,101,0,9,0,0,0,0,0,1,1,0,1,7,2,Y,FEDERAL WAY SCHOOL DISTRICT,2450 S STAR LAKE RD,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
MARLIN HUTTERITE SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,WILSON CREEK SCHOOL DISTRICT,21344 RD 18 NE,WARDEN,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-12,Y,Y
MARRION ELEMENTARY SCHOOL,2013-14,91,73.6%,2.2%,20.9%,3.3%,1.1%,2.2%,0.0%,0.0%,84.6%,84.6%,86.8%,85.7%,83.5%,85.7%,67,2,19,3,1,2,0,0,14,14,12,13,15,13,Y,EVERGREEN SCHOOL DISTRICT (CLARK),10119 NE 14TH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
MARSHALL ELEMENTARY,2013-14,67,88.1%,3.0%,6.0%,3.0%,0.0%,3.0%,0.0%,0.0%,92.5%,92.5%,88.1%,92.5%,97.0%,88.1%,59,2,4,2,0,2,0,0,5,5,8,5,2,8,Y,MARYSVILLE SCHOOL DISTRICT,4407 116TH ST NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
MARTHA & MARY CHILDREN'S LEARNING CENTER,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,NORTH KITSAP SCHOOL DISTRICT,19282 FRONT ST NE,POULSBO,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-1,Y,N
MARTHA LAKE ELEMENTARY,2013-14,74,91.9%,4.1%,0.0%,4.1%,1.4%,2.7%,0.0%,0.0%,97.3%,97.3%,94.6%,97.3%,97.3%,91.9%,68,3,0,3,1,2,0,0,2,2,4,2,2,6,Y,EDMONDS SCHOOL DISTRICT,17500 LARCH WAY,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
MARTIN LUTHER KING ELEMENTARY,2013-14,80,90.0%,0.0%,6.3%,3.8%,1.3%,2.5%,0.0%,0.0%,93.8%,93.8%,95.0%,91.3%,97.5%,93.8%,72,0,5,3,1,2,0,0,5,5,4,7,2,5,Y,VANCOUVER SCHOOL DISTRICT,4801 IDAHO ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
MARTIN LUTHER KING JR ELEMENTARY,2013-14,102,99.0%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,99.0%,99.0%,100.0%,100.0%,100.0%,100.0%,101,1,0,0,0,0,0,0,1,1,0,0,0,0,Y,YAKIMA SCHOOL DISTRICT,2000 S 18TH ST,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
