School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
ALDERWOOD ELEMENTARY SCHOOL,2013-14,51,72.5%,0.0%,15.7%,11.8%,3.9%,9.8%,0.0%,0.0%,76.5%,76.5%,80.4%,80.4%,76.5%,78.4%,37,0,8,6,2,5,0,0,12,12,10,10,12,11,Y,BELLINGHAM SCHOOL DISTRICT,3400 HOLLYWOOD AVE,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
ALDERWOOD MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EDMONDS SCHOOL DISTRICT,20000 28TH AVE W,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N
ALFARETTA HOUSE,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CLOVER PARK SCHOOL DISTRICT,10903 GRAVELLY LAKE DR SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,11-12,N,N
"ALGER LEARNING CENTER, INC.",2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MOUNT BAKER SCHOOL DISTRICT,121 ALDER DR,SEDRO-WOOLLEY,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y
ALKI ELEMENTARY SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SEATTLE PUBLIC SCHOOLS,3010 59 AV SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ALKI MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,VANCOUVER SCHOOL DISTRICT,1800 NW BLISS RD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
ALL SAINTS CATHOLIC SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SPOKANE SCHOOL DISTRICT,3510 E 18TH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
ALL SAINTS SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,FIFE SCHOOL DISTRICT,2323 54TH AVE E,FIFE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,Y,N
ALL SAINTS SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PUYALLUP SCHOOL DISTRICT,504 2ND ST SW,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,3-8,N,Y
ALLEN CREEK ELEMENTARY SCHOOL,2013-14,80,93.8%,2.5%,0.0%,3.8%,1.3%,2.5%,0.0%,0.0%,97.5%,97.5%,97.5%,97.5%,98.8%,93.8%,75,2,0,3,1,2,0,0,2,2,2,2,1,5,Y,MARYSVILLE SCHOOL DISTRICT,6505 60TH DR NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
ALLEN ELEMENTARY,2013-14,46,93.5%,4.3%,2.2%,0.0%,0.0%,0.0%,0.0%,0.0%,95.7%,95.7%,95.7%,93.5%,97.8%,95.7%,43,2,1,0,0,0,0,0,2,2,2,3,1,2,Y,BURLINGTON-EDISON SCHOOL DISTRICT,17145 COOK ROAD,BOW,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
ALMIRA COULEE HARTLINE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COULEE-HARTLINE SCHOOL DISTRICT,413 N. 4TH STREET,COULEE CITY,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N
ALMIRA ELEMENTARY SCHOOL,2013-14,7,85.7%,0.0%,0.0%,14.3%,0.0%,14.3%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,85.7%,6,0,0,1,0,1,0,0,0,0,0,0,0,1,Y,ALMIRA SCHOOL DISTRICT,PO BOX 217,ALMIRA,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y
ALPAC ELEMENTARY SCHOOL,2013-14,90,90.0%,2.2%,4.4%,3.3%,0.0%,3.3%,0.0%,0.0%,93.3%,93.3%,94.4%,93.3%,96.7%,93.3%,81,2,4,3,0,3,0,0,6,6,5,6,3,6,Y,AUBURN SCHOOL DISTRICT,310 MILWAUKEE BLVD N,PACIFIC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ALTA VISTA SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BREMERTON SCHOOL DISTRICT,245 4TH ST SUITE 303,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,7-12,N,N
ALTERNATIVE BANCROFT SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SPOKANE SCHOOL DISTRICT,1025 W SPOFFORD AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,3-12,N,Y
ALTERNATIVE EDUCATION PROGRAM,2013-14,11,45.5%,0.0%,27.3%,27.3%,9.1%,18.2%,0.0%,0.0%,63.6%,63.6%,63.6%,63.6%,63.6%,54.5%,5,0,3,3,1,2,0,0,4,4,4,4,4,5,Y,WALLA WALLA PUBLIC SCHOOLS,ADDRESS: 421 S. 4TH AVE,WALLA WALLA,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K+,Y,N
ALTERNATIVE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CENTRAL KITSAP SCHOOL DISTRICT,10120 FRONTIER PLACE NW,SILVERDALE,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,10-12,N,N
ALTERNATIVE SCHOOL (METHOW VALLEY INDEPENDENT  LC),2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,METHOW VALLEY SCHOOL DISTRICT,18 TWIN LAKES RD.,WINTHROP,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N
AMAZING GRACE CHRISTIAN SCHOOL,2013-14,40,97.5%,0.0%,0.0%,2.5%,2.5%,0.0%,0.0%,0.0%,97.5%,100.0%,100.0%,100.0%,100.0%,100.0%,39,0,0,1,1,0,0,0,1,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,10056 RENTON AVE S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
AMBOY MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BATTLE GROUND SCHOOL DISTRICT,22115 NE CHELATCHIE RD,AMBOY,CLARK,EDUCATIONAL SERVICE DISTRICT 112,5-8,N,Y
AMERICA'S CHILD MONTESSORI,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BELLEVUE SCHOOL DISTRICT,14340 NE 21ST,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,Y,N
AMISTAD ELEMENTARY SCHOOL,2013-14,104,97.1%,2.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,98.1%,98.1%,98.1%,97.1%,100.0%,98.1%,101,3,0,0,0,0,0,0,2,2,2,3,0,2,Y,KENNEWICK SCHOOL DISTRICT,930 WEST 4TH AVENUE,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,Y,N
ANACORTES HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ANACORTES SCHOOL DISTRICT,1600 20TH STREET,ANACORTES,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
ANACORTES MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ANACORTES SCHOOL DISTRICT,2202 M AVENUE,ANACORTES,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N
ANDERSON ISLAND ELEMENTARY,2013-14,8,87.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,87.5%,87.5%,100.0%,100.0%,100.0%,100.0%,7,1,0,0,0,0,0,0,1,1,0,0,0,0,Y,STEILACOOM HIST. SCHOOL DISTRICT,510 CHAMBERS,STEILACOOM,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ANGELO GIAUDRONE MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,4902 S ALASKA ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
ANNIE WRIGHT SCHOOL,2013-14,26,76.9%,0.0%,15.4%,7.7%,0.0%,7.7%,0.0%,0.0%,96.2%,96.2%,96.2%,96.2%,92.3%,92.3%,20,0,4,2,0,2,0,0,1,1,1,1,2,2,Y,TACOMA SCHOOL DISTRICT,827 TACOMA AVE N,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
APOLLO ELEMENTARY,2013-14,92,87.0%,2.2%,6.5%,4.3%,4.3%,0.0%,0.0%,0.0%,94.6%,94.6%,92.4%,94.6%,91.3%,92.4%,80,2,6,4,4,0,0,0,5,5,7,5,8,7,Y,ISSAQUAH SCHOOL DISTRICT,15025 SE 117TH ST,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
APOLO HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,WINLOCK SCHOOL DISTRICT,241 NORTH MILITARY ROAD,WINLOCK,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,6-12,N,Y
