School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Has_kindergarten,Has_6thGrade
Oak Heights Elementary School,2017-18,Y,93,91.4%,2.2%,1.1%,5.4%,1.1%,4.3%,0.0%,0.0%,91.4%,91.4%,94.6%,92.5%,96.8%,94.6%,85,2,1,5,1,4,0,0,8,8,5,7,3,5,Public,Edmonds School District,15500 18TH AVE W,Lynnwood,SNOHOMISH,Northwest Educational Service District 189,1,1
DARRINGTON ELEMENTARY SCHOOL,2017-18,Y,27,81.5%,3.7%,3.7%,11.1%,3.7%,7.4%,0.0%,0.0%,85.2%,85.2%,85.2%,88.9%,96.3%,81.5%,22,1,1,3,1,2,0,0,4,4,4,3,1,5,Public,Darrington School District,1075 Fir St,Darrington,SNOHOMISH,Northwest Educational Service District 189,1,1
CHENEY HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Cheney School District,460 N SIXTH ST,Cheney,SPOKANE,Educational Service District 101,0,0
NISQUALLY MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,North Thurston Public Schools,8100 Steilacoom Rd SE,Lacey,THURSTON,Educational Service District 113,0,0
TUMWATER MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Tumwater School District,6335 Littlerock Road SW,Tumwater,THURSTON,Educational Service District 113,0,0
COLUMBIA ELEMENTARY,2017-18,Y,47,80.9%,2.1%,10.6%,6.4%,0.0%,6.4%,0.0%,0.0%,89.4%,89.4%,85.1%,89.4%,85.1%,80.9%,38,1,5,3,0,3,0,0,5,5,7,5,7,9,Public,Columbia (Walla Walla) School District,755 Maple Street,Burbank,WALLA WALLA,Educational Service District 123,1,0
SUNNYSIDE ELEMENTARY,2017-18,Y,70,90.0%,0.0%,5.7%,4.3%,0.0%,4.3%,0.0%,0.0%,95.7%,95.7%,95.7%,95.7%,91.4%,95.7%,63,0,4,3,0,3,0,0,3,3,3,3,6,3,Public,Pullman School District,425 SW Shirley,Pullman,WHITMAN,Educational Service District 101,1,0
LEWIS AND CLARK MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Yakima School District,1114 W Pierce St,Yakima,YAKIMA,Educational Service District 105,0,1
SPECIAL SERVICES,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Clarkston School District,1294 Chestnut St,Clarkston,ASOTIN,Educational Service District 123,1,1
MARRION ELEMENTARY SCHOOL,2017-18,Y,70,55.7%,2.9%,38.6%,2.9%,1.4%,1.4%,0.0%,0.0%,65.7%,65.7%,68.6%,64.3%,72.9%,64.3%,39,2,27,2,1,1,0,0,24,24,22,25,19,25,Public,Evergreen School District (Clark),10119 NE 14th Street,Vancouver,CLARK,Educational Service District 112,1,0
ROYAL MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Royal School District,921 Ahlers Road,Royal City,GRANT,Educational Service District 105,0,1
LINCOLN ELEMENTARY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Hoquiam School District,700 Wood,Hoquiam,GRAYS HARBOR,Educational Service District 113,1,0
HOQUIAM HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Hoquiam School District,501 W. Emerson,Hoquiam,GRAYS HARBOR,Educational Service District 113,0,0
NAUTILUS  K-8 SCHOOL,2017-18,Y,66,86.4%,0.0%,13.6%,0.0%,0.0%,0.0%,0.0%,0.0%,93.9%,93.9%,89.4%,93.9%,95.5%,89.4%,57,0,9,0,0,0,0,0,4,4,7,4,3,7,Public,Federal Way School District,1000 S 289TH ST,Federal Way,KING,Puget Sound Educational Service District 121,1,1
SACAJAWEA MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Federal Way School District,1101 S DASH POINT RD,Federal Way,KING,Puget Sound Educational Service District 121,0,1
MARK TWAIN ELEMENTARY SCHOOL,2017-18,Y,86,90.7%,0.0%,5.8%,3.5%,1.2%,2.3%,0.0%,0.0%,91.9%,91.9%,95.3%,90.7%,94.2%,94.2%,78,0,5,3,1,2,0,0,7,7,4,8,5,5,Public,Federal Way School District,2450 S STAR LAKE RD,Federal Way,KING,Puget Sound Educational Service District 121,1,0
TWIN LAKES ELEMENTARY SCHOOL,2017-18,Y,58,89.7%,0.0%,6.9%,3.4%,0.0%,3.4%,0.0%,0.0%,93.1%,93.1%,93.1%,93.1%,91.4%,91.4%,52,0,4,2,0,2,0,0,4,4,4,4,5,5,Public,Federal Way School District,4400 SW 320TH ST,Federal Way,KING,Puget Sound Educational Service District 121,1,0
HAZEN HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Renton School District,1101 HOQUIAM AVE NE,RENTON,KING,Educational Service District 101,0,0
Odle Middle School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bellevue School District,14401 NE 8th Street,Bellevue,KING,Puget Sound Educational Service District 121,0,1
Ardmore Elementary,2017-18,Y,87,90.8%,0.0%,9.2%,0.0%,0.0%,0.0%,0.0%,0.0%,96.6%,96.6%,94.3%,97.7%,96.6%,94.3%,79,0,8,0,0,0,0,0,3,3,5,2,3,5,Public,Bellevue School District,16616 NE 32nd St.,Bellevue,KING,Puget Sound Educational Service District 121,1,0
Spiritridge Elementary,2017-18,Y,75,92.0%,0.0%,5.3%,2.7%,0.0%,2.7%,0.0%,0.0%,97.3%,97.3%,97.3%,96.0%,96.0%,94.7%,69,0,4,2,0,2,0,0,2,2,2,3,3,4,Public,Bellevue School District,301 151ST PLACE NE (TEMPORARY),Bellevue,KING,Puget Sound Educational Service District 121,1,0
THORNDYKE ELEMENTARY,2017-18,Y,62,85.5%,8.1%,1.6%,4.8%,0.0%,4.8%,0.0%,0.0%,90.3%,90.3%,91.9%,91.9%,98.4%,90.3%,53,5,1,3,0,3,0,0,6,6,5,5,1,6,Public,Tukwila School District,4415 S 150TH ST,Tukwila,KING,Puget Sound Educational Service District 121,1,0
Maywood Middle School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Issaquah School District,14490 168TH AVE SE,Renton,KING,Puget Sound Educational Service District 121,0,1
Maple Hills Elementary,2017-18,Y,71,94.4%,0.0%,0.0%,5.6%,1.4%,2.8%,1.4%,0.0%,97.2%,97.2%,97.2%,98.6%,97.2%,95.8%,67,0,0,4,1,2,1,0,2,2,2,1,2,3,Public,Issaquah School District,15644 204TH AVE SE,Renton,KING,Puget Sound Educational Service District 121,1,0
Kentridge High,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Kent School District,12430 SE 208TH ST,KENT,KING,Puget Sound Educational Service District 121,0,0
Armin Jahr Elementary,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bremerton School District,800 Dibb Street,Bremerton,KITSAP,Olympic Educational Service District 114,1,0
LYLE MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lyle School District,625 Keasey Ave,Lyle,KLICKITAT,Educational Service District 112,0,0
GOV JOHN ROGERS HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Puyallup School District,12801 86th Ave E,Puyallup,PIERCE,Puget Sound Educational Service District 121,0,0
Boze Elementary School,2017-18,Y,70,91.4%,1.4%,7.1%,0.0%,0.0%,0.0%,0.0%,0.0%,94.3%,100.0%,98.6%,95.7%,97.1%,97.1%,64,1,5,0,0,0,0,0,4,0,1,3,2,2,Public,Tacoma School District,1140 E 65th St,Tacoma,PIERCE,Puget Sound Educational Service District 121,1,0
WASHINGTON HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Franklin Pierce School District,12420 Ainsworth Ave S,Tacoma,PIERCE,Puget Sound Educational Service District 121,0,0
THOMPSON ELEMENTARY,2017-18,Y,110,96.4%,0.9%,0.9%,1.8%,0.0%,1.8%,0.0%,0.0%,99.1%,99.1%,100.0%,98.2%,98.2%,100.0%,106,1,1,2,0,2,0,0,1,1,0,2,2,0,Public,Bethel School District,303 159th St E,Tacoma,PIERCE,Puget Sound Educational Service District 121,1,1
Brier Terrace Middle School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Edmonds School District,22200 BRIER ROAD,Brier,SNOHOMISH,Northwest Educational Service District 189,0,0
PINEWOOD ELEMENTARY,2017-18,Y,82,89.0%,0.0%,3.7%,7.3%,3.7%,3.7%,0.0%,0.0%,93.9%,93.9%,91.5%,93.9%,93.9%,91.5%,73,0,3,6,3,3,0,0,5,5,7,5,5,7,Public,Marysville School District,5115 84th Ave NE,Marysville,SNOHOMISH,Northwest Educational Service District 189,1,0
LACEY ELEMENTARY,2017-18,Y,94,87.2%,0.0%,10.6%,2.1%,1.1%,0.0%,1.1%,0.0%,90.4%,90.4%,93.6%,89.4%,95.7%,93.6%,82,0,10,2,1,0,1,0,9,9,6,10,4,6,Public,North Thurston Public Schools,1800 Homann Dr SE,Lacey,THURSTON,Educational Service District 113,1,1
MINT VALLEY ELEMENTARY,2017-18,Y,71,90.1%,5.6%,0.0%,4.2%,0.0%,4.2%,0.0%,0.0%,93.0%,93.0%,91.5%,94.4%,94.4%,93.0%,64,4,0,3,0,3,0,0,5,5,6,4,4,5,Public,Longview School District,2745 38th Avenue,Longview,COWLITZ,Educational Service District 112,1,0
CASCADE ELEMENTARY,2017-18,Y,90,95.6%,0.0%,2.2%,2.2%,0.0%,2.2%,0.0%,0.0%,97.8%,97.8%,97.8%,98.9%,98.9%,96.7%,86,0,2,2,0,2,0,0,2,2,2,1,1,3,Public,Eastmont School District,2330 N. Baker Ave.,East Wenatchee,DOUGLAS,North Central Educational Service District 171,1,0
BEACON ELEMENTARY,2017-18,Y,94,79.8%,0.0%,13.8%,6.4%,2.1%,4.3%,0.0%,0.0%,86.2%,86.2%,86.2%,84.0%,94.7%,81.9%,75,0,13,6,2,4,0,0,13,13,13,15,5,17,Public,Montesano School District,1717 East Beacon Avenue,Montesano,GRAYS HARBOR,Educational Service District 113,1,0
SPECIAL EDUCATION,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Oak Harbor School District,350 S. Oak Harbor St.,Oak Harbor,ISLAND,Northwest Educational Service District 189,0,0
COUPEVILLE ELEMENTARY SCHOOL,2017-18,Y,72,84.7%,1.4%,8.3%,5.6%,0.0%,5.6%,0.0%,0.0%,90.3%,90.3%,87.5%,90.3%,90.3%,87.5%,61,1,6,4,0,4,0,0,7,7,9,7,7,9,Public,Coupeville School District,6 South Main,Coupeville,ISLAND,Northwest Educational Service District 189,1,0
SANISLO ELEMENTARY SCHOOL,2017-18,Y,41,92.7%,0.0%,7.3%,0.0%,0.0%,0.0%,0.0%,0.0%,95.1%,95.1%,95.1%,95.1%,97.6%,92.7%,38,0,3,0,0,0,0,0,2,2,2,2,1,3,Public,Seattle Public Schools,1812 SW MYRTLE ST,Seattle,KING,Puget Sound Educational Service District 121,1,0
MCMURRAY MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Vashon Island School District,9329 SW CEMETERY RD,Vashon,KING,Puget Sound Educational Service District 121,0,1
SIERRA HEIGHTS ELEMENTARY,2017-18,Y,95,86.3%,1.1%,7.4%,5.3%,2.1%,3.2%,0.0%,0.0%,91.6%,91.6%,89.5%,91.6%,93.7%,88.4%,82,1,7,5,2,3,0,0,8,8,10,8,6,11,Public,Renton School District,2501 UNION AVE NE,RENTON,KING,Educational Service District 101,1,0
GILDO REY ELEMENTARY SCHOOL,2017-18,Y,86,86.0%,2.3%,9.3%,2.3%,2.3%,0.0%,0.0%,0.0%,87.2%,87.2%,90.7%,88.4%,95.3%,89.5%,74,2,8,2,2,0,0,0,11,11,8,10,4,9,Public,Auburn School District,1005 37TH ST SE,Auburn,KING,Puget Sound Educational Service District 121,1,0
Issaquah Valley Elementary,2017-18,Y,117,96.6%,0.9%,1.7%,0.9%,0.0%,0.9%,0.0%,0.0%,97.4%,97.4%,99.1%,96.6%,99.1%,99.1%,113,1,2,1,0,1,0,0,3,3,1,4,1,1,Public,Issaquah School District,555 NW HOLLY ST,Issaquah,KING,Puget Sound Educational Service District 121,1,0
EINSTEIN MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Shoreline School District,19343 3rd Avenue N.W.,Shoreline,KING,Puget Sound Educational Service District 121,0,0
FROST ELEMENTARY,2017-18,Y,59,86.4%,1.7%,10.2%,1.7%,0.0%,1.7%,0.0%,0.0%,91.5%,91.5%,93.2%,89.8%,93.2%,93.2%,51,1,6,1,0,1,0,0,5,5,4,6,4,4,Public,Lake Washington School District,11801 NE 140th,Kirkland,KING,Puget Sound Educational Service District 121,1,0
Cedar Valley Elementary,2017-18,Y,32,81.3%,9.4%,6.3%,3.1%,0.0%,0.0%,3.1%,0.0%,84.4%,84.4%,87.5%,84.4%,96.9%,87.5%,26,3,2,1,0,0,1,0,5,5,4,5,1,4,Public,Kent School District,26500 Timberlane Way SE,Kent,KING,Puget Sound Educational Service District 121,1,1
Springbrook Elementary,2017-18,Y,77,93.5%,2.6%,1.3%,2.6%,0.0%,2.6%,0.0%,0.0%,94.8%,94.8%,96.1%,94.8%,94.8%,93.5%,72,2,1,2,0,2,0,0,4,4,3,4,4,5,Public,Kent School District,20035 100th Ave SE,Kent,KING,Puget Sound Educational Service District 121,1,1
Fairwood Elementary,2017-18,Y,51,84.3%,0.0%,3.9%,11.8%,0.0%,9.8%,2.0%,0.0%,86.3%,86.3%,88.2%,86.3%,92.2%,86.3%,43,0,2,6,0,5,1,0,7,7,6,7,4,7,Public,Kent School District,16600 148th Ave SE,Renton,KING,Puget Sound Educational Service District 121,1,1
SHELTON VIEW ELEMENTARY,2017-18,Y,84,86.9%,1.2%,11.9%,0.0%,0.0%,0.0%,0.0%,0.0%,90.5%,90.5%,92.9%,91.7%,94.0%,92.9%,73,1,10,0,0,0,0,0,8,8,6,7,5,6,Public,Northshore School District,23400 5 AV W,Bothell,KING,Puget Sound Educational Service District 121,1,1
CEDAR HEIGHTS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,South Kitsap School District,2220 POTTERY AVE,Port Orchard,KITSAP,Olympic Educational Service District 114,0,0
LAKE TAPPS ELEMENTARY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Dieringer School District,1320 178th Avenue E.,Lake Tapps,PIERCE,Puget Sound Educational Service District 121,0,0
PURDY ELEMENTARY SCHOOL,2017-18,Y,83,89.2%,2.4%,0.0%,8.4%,1.2%,7.2%,0.0%,0.0%,90.4%,90.4%,92.8%,92.8%,91.6%,92.8%,74,2,0,7,1,6,0,0,8,8,6,6,7,6,Public,Peninsula School District,13815 62nd Ave NW,Gig Harbor,PIERCE,Puget Sound Educational Service District 121,1,0
MONROE ELEMENTARY,2017-18,Y,113,89.4%,1.8%,4.4%,5.3%,0.0%,5.3%,0.0%,0.0%,96.5%,96.5%,96.5%,92.0%,96.5%,96.5%,101,2,5,6,0,6,0,0,4,4,4,9,4,4,Public,Everett School District,10901 27th Ave. SE,Everett,SNOHOMISH,Northwest Educational Service District 189,1,0
SERENE LAKE ELEMENTARY,2017-18,Y,73,84.9%,2.7%,11.0%,1.4%,0.0%,1.4%,0.0%,0.0%,93.2%,93.2%,90.4%,95.9%,97.3%,89.0%,62,2,8,1,0,1,0,0,5,5,7,3,2,8,Public,Mukilteo School District,4709 Picnic Point Rd,Edmonds,SNOHOMISH,Northwest Educational Service District 189,1,0
MARINER HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mukilteo School District,200 120th Street SW,Everett,SNOHOMISH,Northwest Educational Service District 189,0,0
Hilltop Elementary School,2017-18,Y,91,91.2%,0.0%,5.5%,3.3%,0.0%,3.3%,0.0%,0.0%,94.5%,94.5%,94.5%,93.4%,94.5%,93.4%,83,0,5,3,0,3,0,0,5,5,5,6,5,6,Public,Edmonds School District,20425 DAMSON ROAD,Lynnwood,SNOHOMISH,Northwest Educational Service District 189,1,1
Evergreen Elementary School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Evergreen School District (Clark),9001 NE 95th St,Vancouver,CLARK,Educational Service District 112,1,0
College Place Elementary,2017-18,Y,73,80.8%,2.7%,15.1%,1.4%,1.4%,0.0%,0.0%,0.0%,93.2%,93.2%,90.4%,86.3%,93.2%,87.7%,59,2,11,1,1,0,0,0,5,5,7,10,5,9,Public,Edmonds School District,20401 76TH AVE W,Lynnwood,SNOHOMISH,Northwest Educational Service District 189,1,1
Brentwood Elementary School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mead School District,406 W REGINA AVE,Spokane,SPOKANE,Educational Service District 101,1,1
REEVES MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Olympia School District,2200 QUINCE ST NE,Olympia,THURSTON,Educational Service District 113,0,1
PIONEER ELEMENTARY,2017-18,Y,78,82.1%,2.6%,3.8%,11.5%,1.3%,9.0%,1.3%,0.0%,92.3%,92.3%,93.6%,89.7%,88.5%,87.2%,64,2,3,9,1,7,1,0,6,6,5,8,9,10,Public,Olympia School District,1655 CARLYON AVE SE,Olympia,THURSTON,Educational Service District 113,1,0
APPLE VALLEY ELEMENTARY,2017-18,Y,69,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,69,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,West Valley School District (Yakima),7 N 88th Avenue,Yakima,YAKIMA,Educational Service District 105,1,0
BRIGADOON ELEMENTARY SCHOOL,2017-18,Y,68,80.9%,0.0%,17.6%,1.5%,1.5%,0.0%,0.0%,0.0%,91.2%,91.2%,89.7%,88.2%,95.6%,88.2%,55,0,12,1,1,0,0,0,6,6,7,8,3,8,Public,Federal Way School District,3601 SW 336th ST,Federal Way,KING,Puget Sound Educational Service District 121,1,0
KILO MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Federal Way School District,4400 S 308TH ST,Auburn,KING,Puget Sound Educational Service District 121,0,1
TIFFANY PARK ELEMENTARY,2017-18,Y,74,89.2%,5.4%,1.4%,4.1%,1.4%,2.7%,0.0%,0.0%,93.2%,90.5%,93.2%,95.9%,95.9%,93.2%,66,4,1,3,1,2,0,0,5,7,5,3,3,5,Public,Renton School District,1601 LAKE YOUNGS WAY SE,RENTON,KING,Educational Service District 101,1,0
RUSH ELEMENTARY,2017-18,Y,136,94.1%,2.9%,1.5%,1.5%,0.7%,0.0%,0.7%,0.0%,97.1%,97.1%,97.8%,98.5%,96.3%,97.8%,128,4,2,2,1,0,1,0,4,4,3,2,5,3,Public,Lake Washington School District,6101 152nd Ave NE,Redmond,KING,Puget Sound Educational Service District 121,1,0
KELLER ELEMENTARY,2017-18,Y,67,88.1%,0.0%,3.0%,9.0%,4.5%,4.5%,0.0%,0.0%,92.5%,92.5%,89.6%,92.5%,94.0%,89.6%,59,0,2,6,3,3,0,0,5,5,7,5,4,7,Public,Lake Washington School District,13820 108th NE,Kirkland,KING,Puget Sound Educational Service District 121,1,0
Bennett Elementary,2017-18,Y,60,85.0%,1.7%,8.3%,5.0%,1.7%,3.3%,0.0%,0.0%,93.3%,93.3%,98.3%,96.7%,95.0%,93.3%,51,1,5,3,1,2,0,0,4,4,1,2,3,4,Public,Bellevue School District,17900 NE 16th Street,Bellevue,KING,Puget Sound Educational Service District 121,1,0
ROSE HILL MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,13505 NE 75th,Redmond,KING,Puget Sound Educational Service District 121,0,1
Soos Creek Elementary,2017-18,Y,61,86.9%,1.6%,6.6%,4.9%,0.0%,1.6%,3.3%,0.0%,88.5%,88.5%,88.5%,90.2%,95.1%,91.8%,53,1,4,3,0,1,2,0,7,7,7,6,3,5,Public,Kent School District,12651 SE 218th Place,Kent,KING,Puget Sound Educational Service District 121,1,1
Grass Lake Elementary,2017-18,Y,39,92.3%,0.0%,0.0%,7.7%,0.0%,7.7%,0.0%,0.0%,100.0%,100.0%,94.9%,100.0%,97.4%,92.3%,36,0,0,3,0,3,0,0,0,0,2,0,1,3,Public,Kent School District,28700 191st Place SE,Kent,KING,Puget Sound Educational Service District 121,1,1
OLYMPIC VIEW ELEMENTARY,2017-18,Y,104,90.4%,2.9%,3.8%,2.9%,1.0%,1.0%,1.0%,1.0%,95.2%,95.2%,95.2%,94.2%,95.2%,94.2%,94,3,4,3,1,1,1,1,5,5,5,6,5,6,Public,North Thurston Public Schools,1330 Horne Ave NE,Lacey,THURSTON,Educational Service District 113,1,1
TIMBERLINE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,North Thurston Public Schools,6120 Mullen Rd SE,Lacey,THURSTON,Educational Service District 113,0,0
WASHINGTON MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Olympia School District,3100 CAIN RD SE,Olympia,THURSTON,Educational Service District 113,0,1
LOWELL ELEMENTARY SCHOOL,2017-18,Y,61,77.0%,0.0%,23.0%,0.0%,0.0%,0.0%,0.0%,0.0%,82.0%,82.0%,83.6%,83.6%,93.4%,80.3%,47,0,14,0,0,0,0,0,11,11,10,10,4,12,Public,Seattle Public Schools,1058 E MERCER ST,Seattle,KING,Puget Sound Educational Service District 121,1,0
B F DAY ELEMENTARY SCHOOL,2017-18,Y,57,71.9%,0.0%,26.3%,1.8%,0.0%,0.0%,1.8%,0.0%,80.7%,80.7%,78.9%,78.9%,80.7%,78.9%,41,0,15,1,0,0,1,0,11,11,12,12,11,12,Public,Seattle Public Schools,3921 LINDEN AV N,Seattle,KING,Puget Sound Educational Service District 121,1,0
Longfellow Elementary,2017-18,Y,69,85.5%,10.1%,0.0%,4.3%,0.0%,4.3%,0.0%,0.0%,91.3%,91.3%,97.1%,92.8%,92.8%,92.8%,59,7,0,3,0,3,0,0,6,6,2,5,5,5,Public,Spokane School District,800 E Providence Ave,Spokane,SPOKANE,Educational Service District 101,1,1
Logan Elementary,2017-18,Y,51,90.2%,0.0%,2.0%,7.8%,0.0%,7.8%,0.0%,0.0%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,46,0,1,4,0,4,0,0,5,5,5,5,5,5,Public,Spokane School District,1001 E Montgomery Ave,Spokane,SPOKANE,Educational Service District 101,1,1
ORCHARD PRAIRIE ELEMENTARY,2017-18,Y,7,42.9%,0.0%,28.6%,28.6%,0.0%,28.6%,0.0%,0.0%,57.1%,57.1%,71.4%,57.1%,71.4%,57.1%,3,0,2,2,0,2,0,0,3,3,2,3,2,3,Public,Orchard Prairie School District,7626 N. Orchard Prairie Rd.,Spokane,SPOKANE,Educational Service District 101,1,1
SHAW ISLAND ELEMENTARY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Shaw Island School District,44 Hoffman Cove Rd,Shaw Island,SAN JUAN,Northwest Educational Service District 189,1,1
Garfield Elementary,2017-18,Y,78,85.9%,6.4%,1.3%,6.4%,3.8%,2.6%,0.0%,0.0%,92.3%,92.3%,92.3%,92.3%,94.9%,93.6%,67,5,1,5,3,2,0,0,6,6,6,6,4,5,Public,Spokane School District,222 W Knox Ave,Spokane,SPOKANE,Educational Service District 121,1,1
SHARPSTEIN ELEMENTARY SCHOOL,2017-18,Y,59,91.5%,0.0%,5.1%,3.4%,0.0%,3.4%,0.0%,0.0%,93.2%,93.2%,94.9%,93.2%,96.6%,94.9%,54,0,3,2,0,2,0,0,4,4,3,4,2,3,Public,Walla Walla Public Schools,410 HOWARD ST,Walla Walla,WALLA WALLA,Educational Service District 123,1,0
Grant Elementary,2017-18,Y,62,83.9%,0.0%,4.8%,11.3%,6.5%,3.2%,1.6%,0.0%,90.3%,90.3%,93.5%,90.3%,85.5%,91.9%,52,0,3,7,4,2,1,0,6,6,4,6,9,5,Public,Spokane School District,1300 E 9Th Ave,Spokane,SPOKANE,Educational Service District 121,1,1
SCOOTNEY SPRINGS ELEMENTARY,2017-18,Y,81,93.8%,4.9%,0.0%,1.2%,1.2%,0.0%,0.0%,0.0%,97.5%,97.5%,98.8%,100.0%,97.5%,97.5%,76,4,0,1,1,0,0,0,2,2,1,0,2,2,Public,Othello School District,695 S 14th Ave,Othello,ADAMS,Educational Service District 123,1,0
SACAJAWEA ELEMENTARY,2017-18,Y,93,93.5%,3.2%,2.2%,1.1%,0.0%,1.1%,0.0%,0.0%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,87,3,2,1,0,1,0,0,1,1,1,1,1,1,Public,Richland School District,518 Catskill,Richland,BENTON,Educational Service District 123,1,0
EISENHOWER ELEMENTARY SCHOOL,2017-18,Y,82,84.1%,2.4%,0.0%,13.4%,0.0%,13.4%,0.0%,0.0%,87.8%,86.6%,89.0%,85.4%,87.8%,87.8%,69,2,0,11,0,11,0,0,10,11,9,12,10,10,Public,Vancouver School District,9201 NW 9TH AVE,Vancouver,CLARK,Educational Service District 112,1,0
KING ELEMENTARY SCHOOL,2017-18,Y,77,93.5%,1.3%,2.6%,2.6%,0.0%,1.3%,1.3%,0.0%,94.8%,94.8%,94.8%,94.8%,97.4%,96.1%,72,1,2,2,0,1,1,0,4,4,4,4,2,3,Public,Vancouver School District,4801 IDAHO ST,Vancouver,CLARK,Educational Service District 112,1,0
